problem,method,seed,probe,policy,coords,loss,grad_norm,n_params,n_blocks,top1,top2,min,top1_rel_resid,top2_rel_resid,min_rel_resid,top1_start1,min_start1,converged_start0,converged_start1,iterations_start0,iterations_start1,min_rayleigh_f64,source
plain_s4_train_centre_frozen_ord,plain,4,train_probe,centre_frozen,ordinary,0.16457229107618332,2.812873864039472,268336,698,2277.7964879250862,1774.3848407898329,-4.056018883857836,5.097382421821514e-07,5.998048019048479e-07,0.000824952238144571,2277.7964338480447,-4.05606945389484,True,True,70,60,-4.055928510109771,maxlebossdu91
plain_s4_train_centre_frozen_rel,plain,4,train_probe,centre_frozen,relative,0.16457229107618332,2.812873864039472,268336,698,3654.511637000592,2832.0242814688286,-6.448671070844548,5.150191815862146e-07,5.541570138947007e-07,0.0005879149920168847,3654.511691212724,-6.448719262964587,True,True,70,70,-6.448544626694872,maxlebossdu91
plain_s4_train_saved_ord,plain,4,train_probe,saved,ordinary,0.16967857629060745,4.480362712501544,268336,698,2322.0942641854917,1863.8117885958043,-7.294879835518339,5.3474330932485e-07,5.616930769612312e-07,0.0008018907575012561,2322.094197790893,-7.294923049102285,True,True,50,50,-7.295075547518181,maxlebossdu91
plain_s4_train_saved_rel,plain,4,train_probe,saved,relative,0.16967857629060745,4.480362712501544,268336,698,3731.154772965382,2972.459227003512,-11.572137499595183,5.055721691745646e-07,5.267436880875944e-07,5.289976555932306e-05,3731.1548606946576,-11.572055377163684,True,True,60,50,-11.572428756177057,maxlebossdu91
resolution_s4_test_centre_frozen_ord,resolution_max_b1,4,test_probe,centre_frozen,ordinary,0.5623948574066162,2.8964003288557403,268336,698,1776.4846838045592,1374.8993686491194,-3.427039891761939,4.888500694058495e-07,4.587092865864118e-07,0.0002293910840306629,1776.484695258812,-3.4269583199149642,True,True,70,60,-3.427001596933641,maxlebossdu91
resolution_s4_test_centre_frozen_rel,resolution_max_b1,4,test_probe,centre_frozen,relative,0.5623948574066162,2.8964003288557403,268336,698,2860.89132577863,2220.8290638737767,-5.460769814192195,4.758870992418627e-07,4.923453626407889e-07,0.00016369653861403788,2860.891340044459,-5.460770474575728,True,True,70,70,-5.46070178852986,maxlebossdu91
resolution_s4_test_saved_ord,resolution_max_b1,4,test_probe,saved,ordinary,0.5667562484741211,3.9886411516383355,268336,698,1794.9077866063355,1424.4303218619204,-6.967430573508589,4.612329263403905e-07,4.6296170418949816e-07,1.6498414802307567e-05,1794.9077901661483,-6.967419666523174,True,True,60,40,-6.967159101110526,maxlebossdu91
resolution_s4_test_saved_rel,resolution_max_b1,4,test_probe,saved,relative,0.5667562484741211,3.9886411516383355,268336,698,2895.4317184602824,2300.183881102856,-11.035813852531184,4.7424931947794937e-07,4.594904016917998e-07,6.566347075764356e-05,2895.431646874657,-11.035812224638457,True,True,50,50,-11.035380091820217,maxlebossdu91
resolution_s4_train_centre_frozen_ord,resolution_max_b1,4,train_probe,centre_frozen,ordinary,0.30201809108257294,2.1448694239472452,268336,698,1555.8422589918282,1156.1962971484475,-2.818119051938418,4.5900721811133094e-07,5.2073730214979e-07,9.048051853849135e-05,1555.842344250633,-2.818114834889037,True,True,80,70,-2.817896991219255,maxlebossdu91
resolution_s4_train_centre_frozen_rel,resolution_max_b1,4,train_probe,centre_frozen,relative,0.30201809108257294,2.1448694239472452,268336,698,2500.1667971713837,1828.0032622281358,-4.4584401295423834,4.6865033915666723e-07,5.014317992053461e-07,0.0002599021374066638,2500.166798357063,-4.458436429183398,True,True,60,60,-4.458102085718431,maxlebossdu91
resolution_s4_train_saved_ord,resolution_max_b1,4,train_probe,saved,ordinary,0.30783331394195557,3.688923660811742,268336,698,1557.677786436749,1187.1238617553024,-6.288208009636309,4.994586746811745e-07,4.887590323189015e-07,4.315566317317236e-05,1557.6777839019924,-6.288203921565841,True,True,50,50,-6.288244047716821,maxlebossdu91
resolution_s4_train_saved_rel,resolution_max_b1,4,train_probe,saved,relative,0.30783331394195557,3.688923660811742,268336,698,2504.46623643535,1884.9565629486333,-9.9248135472653,4.379450671598291e-07,4.743258586827455e-07,0.0009242401673234444,2504.4662218491903,-9.924850201566505,True,True,50,50,-9.924872052060357,maxlebossdu91
combined_s1_test_centre_frozen_ord,resolution_max_b1_gaussian_conv,1,test_probe,centre_frozen,ordinary,0.5520675480365753,2.6280734830611117,268336,698,1270.1529473483508,1023.0535714488454,-3.2328466603834314,4.6194663418747046e-07,4.5918903156078325e-07,0.0008069481714561118,1270.1529346171787,-3.232894801620771,True,True,70,70,-3.2328143360388424,maxlefrr
combined_s1_test_centre_frozen_rel,resolution_max_b1_gaussian_conv,1,test_probe,centre_frozen,relative,0.5520675480365753,2.6280734830611117,268336,698,2033.2295051175663,1648.4580338300514,-5.145782739562694,4.492867034181932e-07,4.5676297213064006e-07,0.00015902456911267548,2033.2295519757397,-5.145663745857824,True,True,90,70,-5.145727217027738,maxlefrr
combined_s1_test_saved_ord,resolution_max_b1_gaussian_conv,1,test_probe,saved,ordinary,0.5529105961322784,2.632921866001586,268336,698,1330.2759517222046,1040.3704007893143,-3.0335381918840083,4.980499424469258e-07,5.143620879563896e-07,0.0006504126184413141,1330.275946260294,-3.033579808072864,True,True,90,100,-3.0334315445632325,maxlefrr
combined_s1_test_saved_rel,resolution_max_b1_gaussian_conv,1,test_probe,saved,relative,0.5529105961322784,2.632921866001586,268336,698,2128.6652374852374,1671.532726589655,-4.830503404953285,4.816890404862804e-07,4.851844416927875e-07,0.000396882136164886,2128.6652192283586,-4.830516411759808,True,True,100,110,-4.830418091814188,maxlefrr
combined_s1_train_centre_frozen_ord,resolution_max_b1_gaussian_conv,1,train_probe,centre_frozen,ordinary,0.29508914053440094,1.8791869029608768,268336,698,1113.7207253895322,928.8763031011574,-2.2160420928529367,4.450156070955437e-07,4.7406911276371224e-07,0.000694963433956425,1113.7207402886706,-2.216111507284516,True,True,70,80,-2.2157700054746043,maxlefrr
combined_s1_train_centre_frozen_rel,resolution_max_b1_gaussian_conv,1,train_probe,centre_frozen,relative,0.29508914053440094,1.8791869029608768,268336,698,1783.8783597064478,1489.592153745277,-3.5158549589501322,4.82368274161406e-07,4.676877900481038e-07,0.0009422724658857813,1783.8783439654649,-3.5158891998648847,True,True,80,90,-3.515399243969943,maxlefrr
combined_s1_train_saved_ord,resolution_max_b1_gaussian_conv,1,train_probe,saved,ordinary,0.2933417707681656,2.19223569262443,268336,698,1164.3456174446408,963.1839252045386,-3.1106707116567636,4.6771729612499135e-07,4.994375945227034e-07,0.0005025103295882125,1164.345618742523,-3.1106557176835783,True,True,60,60,-3.1107630669462027,maxlefrr
combined_s1_train_saved_rel,resolution_max_b1_gaussian_conv,1,train_probe,saved,relative,0.2933417707681656,2.19223569262443,268336,698,1863.8687339609046,1540.5737525225236,-4.9279381819858985,4.5331202863379963e-07,4.773439882660869e-07,0.0001146261823339522,1863.868692979092,-4.927920699332707,True,True,70,70,-4.928082668640754,maxlefrr
gaussian_s1_test_centre_frozen_ord,gaussian_postrelu,1,test_probe,centre_frozen,ordinary,0.5690420717000961,3.137859069110112,268336,698,1556.602405435508,1300.2302207725093,-4.341565825977381,5.20940719340096e-07,5.51661963523973e-07,0.0009851734967980773,1556.60242444949,-4.341621060004157,True,True,70,70,-4.341551170407772,maxlefrr
gaussian_s1_test_centre_frozen_rel,gaussian_postrelu,1,test_probe,centre_frozen,relative,0.5690420717000961,3.137859069110112,268336,698,2569.418105204261,2130.6912933859494,-6.997564843835267,4.974690842128464e-07,5.617289235567912e-07,0.0005915297192830509,2569.4181363718544,-6.997602191749908,True,True,70,80,-6.997555297347496,maxlefrr
gaussian_s1_test_saved_ord,gaussian_postrelu,1,test_probe,saved,ordinary,0.5681536644697189,2.9530746456655907,268336,698,1624.889537323233,1331.3600068947535,-3.7473687707427015,5.140640354032147e-07,5.364160509973794e-07,0.00021523334830062215,1624.8895076586991,-3.74735782559043,True,True,80,80,-3.747669747603304,maxlefrr
gaussian_s1_test_saved_rel,gaussian_postrelu,1,test_probe,saved,relative,0.5681536644697189,2.9530746456655907,268336,698,2681.56802265243,2177.8566317913464,-6.068384537602054,5.024190806174718e-07,5.669072941294172e-07,9.031048517512467e-05,2681.5679741238764,-6.068287772954712,True,True,90,90,-6.06888323102434,maxlefrr
gaussian_s1_train_centre_frozen_ord,gaussian_postrelu,1,train_probe,centre_frozen,ordinary,0.2910343259572983,2.504399406512799,268336,698,1285.7722865703101,1064.328123847174,-3.014678241936512,5.14582444459211e-07,5.469012945717598e-07,0.0009058647077036773,1285.7722996946204,-3.0147205741941994,True,True,70,70,-3.0150255625479603,maxlefrr
gaussian_s1_train_centre_frozen_rel,gaussian_postrelu,1,train_probe,centre_frozen,relative,0.2910343259572983,2.504399406512799,268336,698,2125.407143635166,1731.898848417456,-4.853730897709488,5.027829782059275e-07,5.750164817966441e-07,0.00010793244894339216,2125.4071314459657,-4.853728852176944,True,True,70,70,-4.8543142832994635,maxlefrr
gaussian_s1_train_saved_ord,gaussian_postrelu,1,train_probe,saved,ordinary,0.28923945128917694,2.7244397477897757,268336,698,1317.2288347005824,1108.2335768353516,-3.4246210485166184,5.073069576401216e-07,5.695414850799299e-07,0.0004442749074839258,1317.2287990879731,-3.4246291026633062,True,True,60,60,-3.4244348528645294,maxlefrr
