method,epoch,state_label,state,seed,policy,split,centre_ce
gaussian_postrelu,6,after,r-_G0.7,3,saved,test_probe,0.9025714111328125
gaussian_postrelu,6,after,r-_G0.7,3,recalibrated,train_probe,0.7869763793945312
gaussian_postrelu,6,after,r-_G0.7,3,recalibrated,test_probe,0.8354000549316406
gaussian_postrelu,6,after,r-_G0.7,4,saved,train_probe,0.9358324890136719
gaussian_postrelu,6,after,r-_G0.7,4,saved,test_probe,1.005743377685547
gaussian_postrelu,6,after,r-_G0.7,4,recalibrated,train_probe,0.7813603515625
gaussian_postrelu,6,after,r-_G0.7,4,recalibrated,test_probe,0.8678651733398437
gaussian_postrelu,6,final,r-_G0,0,saved,train_probe,6.469176025390625
gaussian_postrelu,6,final,r-_G0,0,saved,test_probe,6.309432861328125
gaussian_postrelu,6,final,r-_G0,0,recalibrated,train_probe,1.8571983642578125
gaussian_postrelu,6,final,r-_G0,0,recalibrated,test_probe,1.8444750366210938
gaussian_postrelu,6,final,r-_G0,1,saved,train_probe,4.75966748046875
gaussian_postrelu,6,final,r-_G0,1,saved,test_probe,4.86284765625
gaussian_postrelu,6,final,r-_G0,1,recalibrated,train_probe,1.7759315185546876
gaussian_postrelu,6,final,r-_G0,1,recalibrated,test_probe,1.7646602783203125
gaussian_postrelu,6,final,r-_G0,2,saved,train_probe,8.7274990234375
gaussian_postrelu,6,final,r-_G0,2,saved,test_probe,8.527697265625
gaussian_postrelu,6,final,r-_G0,2,recalibrated,train_probe,1.816596435546875
gaussian_postrelu,6,final,r-_G0,2,recalibrated,test_probe,1.805586181640625
gaussian_postrelu,6,final,r-_G0,3,saved,train_probe,5.822989501953125
gaussian_postrelu,6,final,r-_G0,3,saved,test_probe,5.844593994140625
gaussian_postrelu,6,final,r-_G0,3,recalibrated,train_probe,1.8031046142578124
gaussian_postrelu,6,final,r-_G0,3,recalibrated,test_probe,1.8113722534179688
gaussian_postrelu,6,final,r-_G0,4,saved,train_probe,3.39092724609375
gaussian_postrelu,6,final,r-_G0,4,saved,test_probe,3.406789794921875
gaussian_postrelu,6,final,r-_G0,4,recalibrated,train_probe,1.7671166381835937
gaussian_postrelu,6,final,r-_G0,4,recalibrated,test_probe,1.769307373046875
gaussian_postrelu,9,before,r-_G0.7,0,saved,train_probe,0.6468930358886719
gaussian_postrelu,9,before,r-_G0.7,0,saved,test_probe,0.7501575012207031
gaussian_postrelu,9,before,r-_G0.7,0,recalibrated,train_probe,0.635450439453125
gaussian_postrelu,9,before,r-_G0.7,0,recalibrated,test_probe,0.7438485412597656
gaussian_postrelu,9,before,r-_G0.7,1,saved,train_probe,0.6395989379882813
gaussian_postrelu,9,before,r-_G0.7,1,saved,test_probe,0.696563232421875
gaussian_postrelu,9,before,r-_G0.7,1,recalibrated,train_probe,0.6265969543457032
gaussian_postrelu,9,before,r-_G0.7,1,recalibrated,test_probe,0.6772927551269531
gaussian_postrelu,9,before,r-_G0.7,2,saved,train_probe,0.6179811401367188
gaussian_postrelu,9,before,r-_G0.7,2,saved,test_probe,0.7506407470703125
gaussian_postrelu,9,before,r-_G0.7,2,recalibrated,train_probe,0.5998367309570313
gaussian_postrelu,9,before,r-_G0.7,2,recalibrated,test_probe,0.7341978454589844
gaussian_postrelu,9,before,r-_G0.7,3,saved,train_probe,0.6470383605957031
gaussian_postrelu,9,before,r-_G0.7,3,saved,test_probe,0.7689994201660156
gaussian_postrelu,9,before,r-_G0.7,3,recalibrated,train_probe,0.62059326171875
