method,seed,policy,split,direction,amplitude,centre_ce,dL_plus,dL_minus,S
plain,0,saved,train_probe,11,0.35,0.2235287322998047,7.728955154418945,11.875342849731446,9.802149002075195
plain,0,saved,train_probe,11,0.5,0.2235287322998047,16.526526931762696,30.320110916137697,23.423318923950198
plain,0,saved,train_probe,12,0.005,0.2235287322998047,0.0013404464721679665,0.0015524444580078123,0.0014464454650878894
plain,0,saved,train_probe,12,0.01,0.2235287322998047,0.005529388427734372,0.006092208862304688,0.00581079864501953
plain,0,saved,train_probe,12,0.02,0.2235287322998047,0.022800445556640625,0.024259269714355464,0.023529857635498044
plain,0,saved,train_probe,12,0.025,0.2235287322998047,0.03578244781494139,0.03795878601074221,0.0368706169128418
plain,0,saved,train_probe,12,0.05,0.2235287322998047,0.1440177764892578,0.15725997924804686,0.15063887786865232
plain,0,saved,train_probe,12,0.1,0.2235287322998047,0.5793561248779298,0.7211023712158202,0.650229248046875
plain,0,saved,train_probe,12,0.2,0.2235287322998047,2.158210525512695,3.3596670684814454,2.7589387969970702
plain,0,saved,train_probe,12,0.25,0.2235287322998047,3.161885818481445,5.1953438262939455,4.178614822387695
plain,0,saved,train_probe,12,0.35,0.2235287322998047,6.24249104309082,9.715526931762696,7.979008987426758
plain,0,saved,train_probe,12,0.5,0.2235287322998047,14.386592361450194,22.708239822387696,18.547416091918947
plain,0,saved,train_probe,13,0.005,0.2235287322998047,0.0005633010864257715,0.0019286651611327976,0.0012459831237792846
plain,0,saved,train_probe,13,0.01,0.2235287322998047,0.003740829467773432,0.006519966125488275,0.005130397796630853
plain,0,saved,train_probe,13,0.02,0.2235287322998047,0.017896583557128892,0.023587722778320303,0.020742153167724597
plain,0,saved,train_probe,13,0.025,0.2235287322998047,0.028598052978515642,0.03565288543701173,0.032125469207763685
plain,0,saved,train_probe,13,0.05,0.2235287322998047,0.12231710815429686,0.13284089660644532,0.1275790023803711
plain,0,saved,train_probe,13,0.1,0.2235287322998047,0.5415135650634766,0.5215951080322265,0.5315543365478516
plain,0,saved,train_probe,13,0.2,0.2235287322998047,2.6669568634033203,2.2229639434814454,2.4449604034423826
plain,0,saved,train_probe,13,0.25,0.2235287322998047,4.657744216918945,3.7683395538330076,4.213041885375977
plain,0,saved,train_probe,13,0.35,0.2235287322998047,10.359021072387696,9.371295974731446,9.865158523559572
plain,0,saved,train_probe,13,0.5,0.2235287322998047,21.772943923950194,28.457003494262697,25.114973709106444
plain,0,saved,train_probe,14,0.005,0.2235287322998047,0.0011867294311523335,0.0023294219970703134,0.0017580757141113235
plain,0,saved,train_probe,14,0.01,0.2235287322998047,0.006072067260742192,0.007844696044921884,0.006958381652832038
plain,0,saved,train_probe,14,0.02,0.2235287322998047,0.02725540161132811,0.027690559387207048,0.02747298049926758
plain,0,saved,train_probe,14,0.025,0.2235287322998047,0.04422452545166017,0.042158294677734354,0.04319141006469726
plain,0,saved,train_probe,14,0.05,0.2235287322998047,0.21452278137207031,0.16246437072753905,0.18849357604980468
plain,0,saved,train_probe,14,0.1,0.2235287322998047,1.1411184844970703,0.6203851470947266,0.8807518157958985
plain,0,saved,train_probe,14,0.2,0.2235287322998047,5.44812043762207,2.444476150512695,3.9462982940673825
plain,0,saved,train_probe,14,0.25,0.2235287322998047,8.166954666137695,4.275141677856445,6.2210481719970705
plain,0,saved,train_probe,14,0.35,0.2235287322998047,13.838237380981445,10.498741775512695,12.168489578247069
plain,0,saved,train_probe,14,0.5,0.2235287322998047,22.977265213012696,27.905921463012696,25.441593338012694
plain,0,saved,train_probe,15,0.005,0.2235287322998047,0.0019179687499999987,0.0008698730468749971,0.0013939208984374979
plain,0,saved,train_probe,15,0.01,0.2235287322998047,0.006972900390625009,0.004765029907226548,0.005868965148925778
plain,0,saved,train_probe,15,0.02,0.2235287322998047,0.025601783752441404,0.022464210510253907,0.024032997131347655
plain,0,saved,train_probe,15,0.025,0.2235287322998047,0.03990994262695313,0.0371153106689453,0.038512626647949216
plain,0,saved,train_probe,15,0.05,0.2235287322998047,0.1671569366455078,0.17700451660156252,0.17208072662353516
plain,0,saved,train_probe,15,0.1,0.2235287322998047,0.7323920440673828,1.0275186309814452,0.879955337524414
plain,0,saved,train_probe,15,0.2,0.2235287322998047,2.894847854614258,6.323167068481445,4.609007461547852
plain,0,saved,train_probe,15,0.25,0.2235287322998047,4.28068537902832,9.679151931762695,6.979918655395507
plain,0,saved,train_probe,15,0.35,0.2235287322998047,7.920512771606445,15.542655349731445,11.731584060668945
plain,0,saved,train_probe,15,0.5,0.2235287322998047,19.501709548950195,32.6425532989502,26.072131423950196
