A,B,seed,alpha,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
plain,resolution_max_b1,3,0.92,0.3421573028564453,0.879,0.61224267578125,0.789
plain,resolution_max_b1,3,0.9400000000000001,0.32085243225097654,0.888,0.5977784423828125,0.786
plain,resolution_max_b1,3,0.96,0.3037965087890625,0.9,0.5863605651855469,0.797
plain,resolution_max_b1,3,0.98,0.2913262176513672,0.905,0.5777015686035156,0.805
plain,resolution_max_b1,3,1.0,0.2843556213378906,0.908,0.5726373291015625,0.797
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.0,0.2843556213378906,0.908,0.5726373291015625,0.797
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.02,0.2913764343261719,0.904,0.5771343994140625,0.802
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.04,0.303932373046875,0.899,0.5853399353027344,0.799
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.06,0.32145481872558596,0.891,0.5977208251953126,0.795
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.08,0.343777587890625,0.887,0.6145891418457031,0.792
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.1,0.3708092041015625,0.873,0.6344896240234374,0.779
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.12,0.40302525329589844,0.866,0.6578119506835938,0.778
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.14,0.4403734436035156,0.854,0.6840459594726562,0.761
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.16,0.4827125549316406,0.842,0.7139468994140625,0.763
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.18,0.5299880065917969,0.822,0.7463204956054688,0.757
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.2,0.5820738220214844,0.8,0.7807602233886719,0.743
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.22,0.638337158203125,0.777,0.8184541015625,0.73
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.24,0.6968731079101562,0.762,0.8584418029785156,0.717
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.26,0.756513671875,0.736,0.9006619262695312,0.708
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.28,0.8156310424804688,0.722,0.9443123779296875,0.689
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.3,0.8740270690917968,0.699,0.987586181640625,0.672
resolution_max_b1,resolution_max_b1_gaussian_conv,3,0.32,0.9307702941894531,0.677,1.0321007080078124,0.66
