cell,radius,energy_fraction
resolution_max_b1_gaussian_conv__reference__seed1,6,0.04100985359121258
resolution_max_b1_gaussian_conv__reference__seed1,7,0.044230211964664444
resolution_max_b1_gaussian_conv__reference__seed1,8,0.056940577091191484
resolution_max_b1_gaussian_conv__reference__seed1,9,0.08374467894475443
resolution_max_b1_gaussian_conv__reference__seed1,10,0.07105282621243478
resolution_max_b1_gaussian_conv__reference__seed1,11,0.09651063414937588
resolution_max_b1_gaussian_conv__reference__seed1,12,0.0874560384829796
resolution_max_b1_gaussian_conv__reference__seed1,13,0.10753183213914477
resolution_max_b1_gaussian_conv__reference__seed1,14,0.09674988135905224
resolution_max_b1_gaussian_conv__reference__seed1,15,0.08331658635045233
resolution_max_b1_gaussian_conv__reference__seed1,16,0.07789785206002883
resolution_max_b1_gaussian_conv__reference__seed1,17,0.03950196905842417
resolution_max_b1_gaussian_conv__reference__seed1,18,0.019592698907371565
resolution_max_b1_gaussian_conv__reference__seed1,19,0.010945530376078184
resolution_max_b1_gaussian_conv__reference__seed1,20,0.004067337326373842
resolution_max_b1_gaussian_conv__reference__seed1,21,0.004259092312350083
resolution_max_b1_gaussian_conv__reference__seed1,22,0.0008406515108569329
resolution_max_b1_gaussian_conv__reference__seed1,23,0.00031038528498348423
gaussian_postrelu__reference__seed1,0,0.0006029077820687291
gaussian_postrelu__reference__seed1,1,0.004634387769684923
gaussian_postrelu__reference__seed1,2,0.008907788491582873
gaussian_postrelu__reference__seed1,3,0.015263761301045849
gaussian_postrelu__reference__seed1,4,0.03835668909529556
gaussian_postrelu__reference__seed1,5,0.039829418981418674
gaussian_postrelu__reference__seed1,6,0.060887262508598196
gaussian_postrelu__reference__seed1,7,0.06127582318508383
gaussian_postrelu__reference__seed1,8,0.07064165448732028
gaussian_postrelu__reference__seed1,9,0.09010495438906312
gaussian_postrelu__reference__seed1,10,0.06669630745626412
gaussian_postrelu__reference__seed1,11,0.07893958210219777
gaussian_postrelu__reference__seed1,12,0.06770927022109312
gaussian_postrelu__reference__seed1,13,0.08011240320190459
gaussian_postrelu__reference__seed1,14,0.07495466745014721
gaussian_postrelu__reference__seed1,15,0.06920352311562236
gaussian_postrelu__reference__seed1,16,0.07020477122624721
gaussian_postrelu__reference__seed1,17,0.042302123222032625
gaussian_postrelu__reference__seed1,18,0.024463551187890262
gaussian_postrelu__reference__seed1,19,0.016023526673418432
gaussian_postrelu__reference__seed1,20,0.007204928936992802
gaussian_postrelu__reference__seed1,21,0.00902069264831401
gaussian_postrelu__reference__seed1,22,0.002017943127362282
gaussian_postrelu__reference__seed1,23,0.0006420614393511532
plain__lr_high__seed0,0,0.00019958080327361414
plain__lr_high__seed0,1,0.0017838168956587264
