method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max
gaussian_postrelu,4,recalibrated,train_probe,0.2,20,0.9163812385559081,0.2748548242005734,0.3993993835449219,1.4718054199218749
gaussian_postrelu,4,recalibrated,train_probe,0.25,20,1.2671885437011716,0.3034528871500684,0.6035732116699218,1.8540796813964842
gaussian_postrelu,4,saved,test_probe,0.025,20,0.03311383590698241,0.012373401673909856,0.013033081054687479,0.05678486633300783
gaussian_postrelu,4,saved,test_probe,0.05,20,0.14811826477050777,0.06134536303072357,0.05760160827636718,0.27593103027343746
gaussian_postrelu,4,saved,test_probe,0.1,20,0.6626323753356933,0.23846966668235364,0.2889053039550782,1.1463324279785156
gaussian_postrelu,4,saved,test_probe,0.2,20,2.670913386535644,0.6082595747474058,1.5029074401855471,3.594430541992187
gaussian_postrelu,4,saved,test_probe,0.25,20,4.02362839050293,0.8541729986793322,2.465730773925781,5.1241630859375
gaussian_postrelu,4,saved,train_probe,0.025,20,0.04041761932373046,0.015082187265858927,0.021668510437011734,0.07326853942871092
gaussian_postrelu,4,saved,train_probe,0.05,20,0.17343772811889652,0.06894237228113606,0.08554005432128903,0.3316764907836914
gaussian_postrelu,4,saved,train_probe,0.1,20,0.7405336059570312,0.25188899684714644,0.37489852142333985,1.2781046829223632
gaussian_postrelu,4,saved,train_probe,0.2,20,2.8665653350830085,0.6340727669394494,1.688265296936035,3.83163468170166
gaussian_postrelu,4,saved,train_probe,0.25,20,4.265108052062988,0.879874035963636,2.668552894592285,5.39132804107666
plain,0,recalibrated,test_probe,0.025,20,0.004956983184814467,0.002053612908149282,0.0020577697753906277,0.008858978271484408
plain,0,recalibrated,test_probe,0.05,20,0.021817236328125007,0.006639253498367104,0.010648300170898461,0.03270799255371093
plain,0,recalibrated,test_probe,0.1,20,0.0909640235900879,0.01956853726295163,0.059319717407226524,0.12870423889160165
plain,0,recalibrated,test_probe,0.2,20,0.382791194152832,0.06101890854174376,0.2806832275390626,0.5068106689453123
plain,0,recalibrated,test_probe,0.25,20,0.6163014587402345,0.09556604577342699,0.47261471557617185,0.8288229064941405
plain,0,recalibrated,train_probe,0.025,20,0.012399027633667003,0.0018498278248701265,0.009453048706054706,0.01647334289550781
plain,0,recalibrated,train_probe,0.05,20,0.04635681114196778,0.0069770610578055135,0.03681932830810544,0.06369864654541016
plain,0,recalibrated,train_probe,0.1,20,0.17226018295288087,0.024277076845616193,0.13858336639404298,0.23181572723388674
plain,0,recalibrated,train_probe,0.2,20,0.6232255348205566,0.07146595681718185,0.5039412536621094,0.7547496948242188
plain,0,recalibrated,train_probe,0.25,20,0.935511552429199,0.10302131022443942,0.7605728607177734,1.1318594818115235
plain,0,saved,test_probe,0.025,20,0.028961108398437452,0.007954303209376725,0.014233062744140601,0.04096691894531246
plain,0,saved,test_probe,0.05,20,0.12397481765747065,0.03325381037925011,0.06446440124511721,0.17479524230957022
plain,0,saved,test_probe,0.1,20,0.5734753532409668,0.16541513051397103,0.298620880126953,0.7989196472167968
plain,0,saved,test_probe,0.2,20,2.938939015197754,1.0459625508422399,1.5672612304687499,5.295966491699219
plain,0,saved,test_probe,0.25,20,4.845928305053711,1.7390962504873426,2.7389517211914063,9.121361633300781
plain,0,saved,train_probe,0.025,20,0.03659329471588134,0.006783861469898829,0.023804313659667953,0.046932327270507834
plain,0,saved,train_probe,0.05,20,0.15155132026672363,0.030879110493852627,0.09493868255615234,0.19340144348144533
plain,0,saved,train_probe,0.1,20,0.678169100189209,0.16734943750286566,0.3913209533691407,0.918871368408203
