method,transition_update,seed,state_label,state,split,L_center_saved,L_center_recalibrated,S_recal_eps0.025,n_dirs_eps0.025,S_recal_eps0.05,n_dirs_eps0.05,S_recal_eps0.1,n_dirs_eps0.1,S_recal_eps0.2,n_dirs_eps0.2,S_recal_eps0.25,n_dirs_eps0.25
gaussian_postrelu,8211,2,after,"{""resolution"": null, ""sigma"": 0.0}",train_probe,0.34216349792480466,0.3350227813720703,0.012278090667724622,10,0.052692955780029284,10,0.216790193939209,10,0.7717995025634765,10,1.1003231842041015,10
gaussian_postrelu,8211,2,after,"{""resolution"": null, ""sigma"": 0.0}",test_probe,0.5970285034179688,0.5922714233398437,0.00943819732666017,10,0.0394149551391602,10,0.17652546386718754,10,0.6739708084106446,10,0.9742041992187499,10
gaussian_postrelu,8211,3,before,"{""resolution"": null, ""sigma"": 0.3}",train_probe,0.32289164733886716,0.3156425018310547,0.01574861373901367,10,0.06829883728027344,10,0.26399834213256834,10,0.8571670043945312,10,1.1965274032592774,10
gaussian_postrelu,8211,3,before,"{""resolution"": null, ""sigma"": 0.3}",test_probe,0.5605692291259765,0.5618086242675782,0.013300634002685519,10,0.05801236572265622,10,0.2284762969970703,10,0.7658245483398437,10,1.0827261535644532,10
gaussian_postrelu,8211,3,after,"{""resolution"": null, ""sigma"": 0.0}",train_probe,0.32970635986328123,0.32277069091796873,0.015941513824462933,10,0.06873291015625002,10,0.26440249099731444,10,0.8540804626464844,10,1.1898996520996095,10
gaussian_postrelu,8211,3,after,"{""resolution"": null, ""sigma"": 0.0}",test_probe,0.5650292358398438,0.5653292236328125,0.013529704284667987,10,0.05817000122070316,10,0.22832287445068364,10,0.7615665618896484,10,1.0754853454589846,10
gaussian_postrelu,8211,4,before,"{""resolution"": null, ""sigma"": 0.3}",train_probe,0.34035789489746093,0.33645965576171877,0.017605461120605466,10,0.07763759841918942,10,0.294951091003418,10,0.8731959915161133,10,1.1829055541992188,10
gaussian_postrelu,8211,4,before,"{""resolution"": null, ""sigma"": 0.3}",test_probe,0.607103515625,0.6001004028320313,0.012341641235351575,10,0.056137120056152345,10,0.23952019195556642,10,0.748656834411621,10,1.036594226074219,10
gaussian_postrelu,8211,4,after,"{""resolution"": null, ""sigma"": 0.0}",train_probe,0.3479236297607422,0.34297157287597657,0.018011434936523425,10,0.0782635139465332,10,0.29515891952514645,10,0.8687480941772462,10,1.175258853149414,10
gaussian_postrelu,8211,4,after,"{""resolution"": null, ""sigma"": 0.0}",test_probe,0.6166210327148437,0.6059405517578125,0.012326861572265656,10,0.05596867370605472,10,0.23791772613525392,10,0.7420279312133788,10,1.0271111968994142,10
resolution_max_b1_gaussian_conv,1173,0,before,"{""resolution"": 16, ""sigma"": 1.0}",train_probe,1.0500376281738282,1.0278698120117187,0.004198245239257914,10,0.0156601379394532,10,0.06138762512207041,10,0.23808799743652348,10,0.3629682983398439,10
resolution_max_b1_gaussian_conv,1173,0,before,"{""resolution"": 16, ""sigma"": 1.0}",test_probe,1.0933988647460937,1.0760836181640625,0.003923522949218694,10,0.015703649902343762,10,0.06157730102539063,10,0.23531740112304692,10,0.354952993774414,10
resolution_max_b1_gaussian_conv,1173,0,after,"{""resolution"": 16, ""sigma"": 0.85}",train_probe,1.5307545166015626,1.1234129028320312,0.003075405883789051,10,0.01257328796386723,10,0.0500830749511719,10,0.19372954711914067,10,0.2941331939697266,10
