method,seed,policy,split,direction,direction_seed,amplitude,L_center,dL_plus,dL_minus,S,acc_center,acc_plus,acc_minus
plain,0,saved,test_probe,13,2047332102,0.1,0.7621461791992188,0.41534100341796876,0.35397674560546877,0.38465887451171876,0.739,0.665,0.66
plain,0,saved,train_probe,13,2047332102,0.2,0.2235287322998047,2.6669568634033203,2.2229639434814454,2.4449604034423826,0.941,0.415,0.437
plain,0,saved,test_probe,13,2047332102,0.2,0.7621461791992188,2.1613637084960935,1.8643494262695313,2.012856567382813,0.739,0.391,0.442
plain,0,saved,train_probe,13,2047332102,0.25,0.2235287322998047,4.657744216918945,3.7683395538330076,4.213041885375977,0.941,0.255,0.312
plain,0,saved,test_probe,13,2047332102,0.25,0.7621461791992188,4.038991271972656,3.283737121582031,3.6613641967773436,0.739,0.248,0.318
plain,0,saved,train_probe,14,67912771,0.025,0.2235287322998047,0.04422452545166017,0.042158294677734354,0.04319141006469723,0.941,0.919,0.92
plain,0,saved,test_probe,14,67912771,0.025,0.7621461791992188,0.056448455810546805,0.020060211181640586,0.03825433349609364,0.739,0.725,0.731
plain,0,saved,train_probe,14,67912771,0.05,0.2235287322998047,0.21452278137207031,0.16246437072753905,0.1884935760498047,0.941,0.844,0.867
plain,0,saved,test_probe,14,67912771,0.05,0.7621461791992188,0.22719323730468743,0.11124121093749995,0.16921722412109363,0.739,0.688,0.698
plain,0,saved,train_probe,14,67912771,0.1,0.2235287322998047,1.1411184844970703,0.6203851470947266,0.8807518157958985,0.941,0.634,0.712
plain,0,saved,test_probe,14,67912771,0.1,0.7621461791992188,1.0937852172851563,0.4673623657226562,0.7805737915039062,0.739,0.548,0.625
plain,0,saved,train_probe,14,67912771,0.2,0.2235287322998047,5.44812043762207,2.444476150512695,3.9462982940673825,0.941,0.28,0.415
plain,0,saved,test_probe,14,67912771,0.2,0.7621461791992188,5.088181457519531,2.013656799316406,3.550919128417969,0.739,0.274,0.389
plain,0,saved,train_probe,14,67912771,0.25,0.2235287322998047,8.166954666137695,4.275141677856445,6.2210481719970705,0.941,0.207,0.263
plain,0,saved,test_probe,14,67912771,0.25,0.7621461791992188,7.738796203613282,3.7046936645507813,5.721744934082031,0.739,0.201,0.259
plain,0,saved,train_probe,15,84429819,0.025,0.2235287322998047,0.03990994262695313,0.0371153106689453,0.038512626647949244,0.941,0.923,0.921
plain,0,saved,test_probe,15,84429819,0.025,0.7621461791992188,0.04980654907226556,0.019943389892578045,0.03487496948242175,0.739,0.727,0.74
plain,0,saved,train_probe,15,84429819,0.05,0.2235287322998047,0.1671569366455078,0.17700451660156252,0.17208072662353519,0.941,0.863,0.865
plain,0,saved,test_probe,15,84429819,0.05,0.7621461791992188,0.1634444580078125,0.14111608886718752,0.15228027343749995,0.739,0.686,0.7
plain,0,saved,train_probe,15,84429819,0.1,0.2235287322998047,0.7323920440673828,1.0275186309814452,0.879955337524414,0.941,0.683,0.618
plain,0,saved,test_probe,15,84429819,0.1,0.7621461791992188,0.6569448242187499,0.9408944702148436,0.7989196472167968,0.739,0.609,0.544
plain,0,saved,train_probe,15,84429819,0.2,0.2235287322998047,2.894847854614258,6.323167068481445,4.609007461547852,0.941,0.387,0.237
plain,0,saved,test_probe,15,84429819,0.2,0.7621461791992188,2.5858815307617187,5.991066223144531,4.288473876953125,0.739,0.376,0.236
plain,0,saved,train_probe,15,84429819,0.25,0.2235287322998047,4.28068537902832,9.679151931762695,6.979918655395507,0.941,0.292,0.182
plain,0,saved,test_probe,15,84429819,0.25,0.7621461791992188,3.840682922363281,9.305901184082032,6.573292053222657,0.739,0.293,0.162
plain,0,saved,train_probe,16,1370112033,0.025,0.2235287322998047,0.053735794067382825,0.04012886047363279,0.046932327270507834,0.941,0.915,0.922
plain,0,saved,test_probe,16,1370112033,0.025,0.7621461791992188,0.038947418212890605,0.02787969970703119,0.0334135589599609,0.739,0.729,0.731
plain,0,saved,train_probe,16,1370112033,0.05,0.2235287322998047,0.19066526794433591,0.1914859466552734,0.19107560729980466,0.941,0.863,0.841
plain,0,saved,test_probe,16,1370112033,0.05,0.7621461791992188,0.14441183471679686,0.14189813232421866,0.1431549835205077,0.739,0.715,0.722
