method,seed,probe,policy,amplitude,mean_dHd,C_mean_finite,ratio_C_over_dHd
plain,4,test_probe,centre_frozen,0.005,145.1212933208875,93.5106201171907,0.6443618160873404
plain,4,test_probe,centre_frozen,0.01,145.1212933208875,96.18727111816472,0.6628060494573911
plain,4,test_probe,centre_frozen,0.02,145.1212933208875,97.69002914428724,0.673161235741458
plain,4,test_probe,centre_frozen,0.025,145.1212933208875,98.84086914062505,0.6810914296503086
plain,4,test_probe,centre_frozen,0.05,145.1212933208875,104.04898620605468,0.7169794578386572
plain,4,test_probe,centre_frozen,0.1,145.1212933208875,116.59290100097655,0.8034169096272461
plain,4,test_probe,centre_frozen,0.2,145.1212933208875,138.32378623962398,0.9531598228921989
plain,4,test_probe,centre_frozen,0.25,145.1212933208875,142.80751845703125,0.9840562689946533
plain,4,test_probe,centre_frozen,0.35,145.1212933208875,145.45715630978955,1.0023143604995264
plain,4,test_probe,centre_frozen,0.5,145.1212933208875,153.93668022460935,1.0607449582483361
resolution_max_b1,0,train_probe,saved,0.005,68.44725896791545,79.20843505859399,1.1572185103237345
resolution_max_b1,0,train_probe,saved,0.01,68.44725896791545,78.6742324829104,1.1494139234967586
resolution_max_b1,0,train_probe,saved,0.02,68.44725896791545,77.6378498077393,1.1342725914580734
resolution_max_b1,0,train_probe,saved,0.025,68.44725896791545,77.47549438476562,1.1319006130118687
resolution_max_b1,0,train_probe,saved,0.05,68.44725896791545,78.9881625366211,1.1540003752910937
resolution_max_b1,0,train_probe,saved,0.1,68.44725896791545,86.7490461730957,1.267385246409344
resolution_max_b1,0,train_probe,saved,0.2,68.44725896791545,106.00687515258787,1.548738061260838
resolution_max_b1,0,train_probe,saved,0.25,68.44725896791545,111.44155112304686,1.6281375295873415
resolution_max_b1,0,train_probe,saved,0.35,68.44725896791545,115.96942303093113,1.694288782042998
resolution_max_b1,0,train_probe,saved,0.5,68.44725896791545,132.67040981445314,1.9382866723215637
resolution_max_b1,0,train_probe,centre_frozen,0.005,67.74072451255648,80.47897338867237,1.1880441782661288
resolution_max_b1,0,train_probe,centre_frozen,0.01,67.74072451255648,80.43326568603497,1.1873694334510076
resolution_max_b1,0,train_probe,centre_frozen,0.02,67.74072451255648,79.08088302612305,1.1674053325406129
resolution_max_b1,0,train_probe,centre_frozen,0.025,67.74072451255648,78.88465087890624,1.1645085204880576
resolution_max_b1,0,train_probe,centre_frozen,0.05,67.74072451255648,80.23421386718749,1.1844309969302913
resolution_max_b1,0,train_probe,centre_frozen,0.1,67.74072451255648,87.91064498901366,1.2977517678116723
resolution_max_b1,0,train_probe,centre_frozen,0.2,67.74072451255648,107.53026832580565,1.5873799564377813
resolution_max_b1,0,train_probe,centre_frozen,0.25,67.74072451255648,113.17069531250002,1.6706448908960605
resolution_max_b1,0,train_probe,centre_frozen,0.35,67.74072451255648,117.83385014748087,1.739483169029866
resolution_max_b1,0,train_probe,centre_frozen,0.5,67.74072451255648,134.7137856201172,1.9886676233459317
resolution_max_b1,0,test_probe,saved,0.005,79.30297324378783,68.07159423828101,0.8583737967682488
resolution_max_b1,0,test_probe,saved,0.01,79.30297324378783,67.52032470703173,0.8514223609178602
resolution_max_b1,0,test_probe,saved,0.02,79.30297324378783,65.9238471984863,0.8312909907656005
resolution_max_b1,0,test_probe,saved,0.025,79.30297324378783,65.45922363281252,0.8254321490769609
resolution_max_b1,0,test_probe,saved,0.05,79.30297324378783,67.29271484374996,0.8485522306570178
resolution_max_b1,0,test_probe,saved,0.1,79.30297324378783,77.28946182250975,0.9746098873860848
resolution_max_b1,0,test_probe,saved,0.2,79.30297324378783,100.29549797058104,1.2647129592765634
resolution_max_b1,0,test_probe,saved,0.25,79.30297324378783,106.80180776367187,1.3467566649153113
resolution_max_b1,0,test_probe,saved,0.35,79.30297324378783,112.71476333306764,1.4213182523001697
resolution_max_b1,0,test_probe,saved,0.5,79.30297324378783,130.480872265625,1.6453465352996228
resolution_max_b1,0,test_probe,centre_frozen,0.005,78.65962413868925,73.22583007812298,0.930920162407773
resolution_max_b1,0,test_probe,centre_frozen,0.01,78.65962413868925,69.77328491210899,0.8870279470073203
resolution_max_b1,0,test_probe,centre_frozen,0.02,78.65962413868925,66.47895812988276,0.8451471623188782
resolution_max_b1,0,test_probe,centre_frozen,0.025,78.65962413868925,65.96599609375001,0.8386258746601892
resolution_max_b1,0,test_probe,centre_frozen,0.05,78.65962413868925,67.95169860839842,0.8638701157354746
resolution_max_b1,0,test_probe,centre_frozen,0.1,78.65962413868925,78.30883651733396,0.9955404360852679
resolution_max_b1,0,test_probe,centre_frozen,0.2,78.65962413868925,101.82803588867186,1.2945400769921436
resolution_max_b1,0,test_probe,centre_frozen,0.25,78.65962413868925,108.56782885742189,1.3802230819969312
resolution_max_b1,0,test_probe,centre_frozen,0.35,78.65962413868925,114.59965725645729,1.4569057316419427
resolution_max_b1,0,test_probe,centre_frozen,0.5,78.65962413868925,132.52308925781247,1.6847663678655962
resolution_max_b1,1,train_probe,saved,0.005,75.08126510316465,87.62191772460913,1.1670277212859044
resolution_max_b1,1,train_probe,saved,0.01,75.08126510316465,87.47590637207031,1.165083010413782
resolution_max_b1,1,train_probe,saved,0.02,75.08126510316465,87.74871635437006,1.1687165397892514
resolution_max_b1,1,train_probe,saved,0.025,75.08126510316465,87.6645324707031,1.1675953029061048
