coords,policy,probe,quantity,method,comparison,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4
ordinary,saved,test_probe,top1,resolution_max_b1,value,5,1676.5754193270272,76.79915441463464,0,5,0,1648.417201994099,1645.5719246699766,1591.8302955384138,1702.1498878263112,1794.9077866063355
ordinary,saved,test_probe,top1,resolution_max_b1,difference vs plain,5,-1560.580817528718,328.42879180957965,5,0,0,-1340.2110768497043,-1200.5747513971075,-1918.3973477920667,-1896.020788802178,-1447.7001228025335
ordinary,saved,test_probe,top1,resolution_max_b1,ratio to plain,5,0.5219640287327103,0.055031735224057764,0,5,0,0.5515631414127603,0.5781753760294223,0.4534834937451794,0.4730597964355703,0.553538336040619
ordinary,saved,test_probe,top1,gaussian_postrelu,value,5,1500.1292388064608,119.55806923486236,0,5,0,1329.9110723297745,1624.889537323233,1461.247622795377,1480.7814343108423,1603.816527273078
ordinary,saved,test_probe,top1,gaussian_postrelu,difference vs plain,5,-1737.0269980492842,361.8671484657899,5,0,0,-1658.717206514029,-1221.257138743851,-2048.9800205351034,-2117.3892423176467,-1638.791382135791
ordinary,saved,test_probe,top1,gaussian_postrelu,ratio to plain,5,0.46766523647348024,0.06650128484884935,0,5,0,0.4449904599190472,0.5709085729792986,0.4162828657485459,0.4115372969740126,0.4946069867464967
ordinary,saved,test_probe,top1,resolution_max_b1_gaussian_conv,value,5,1281.7653357548152,58.965725376156485,0,5,0,1282.4118996984985,1330.2759517222046,1346.7399413612202,1204.4584256838862,1244.9404603082664
ordinary,saved,test_probe,top1,resolution_max_b1_gaussian_conv,difference vs plain,5,-1955.3909011009303,350.8857075098193,5,0,0,-1706.216379145305,-1515.8707243448796,-2163.4877019692603,-2393.712250944603,-1997.6674491006027
ordinary,saved,test_probe,top1,resolution_max_b1_gaussian_conv,ratio to plain,5,0.3997656066659988,0.050428813595861405,0,5,0,0.4290971576413709,0.46739543077956597,0.3836617103509111,0.33474188245357833,0.38393185210456743
ordinary,saved,test_probe,top2,plain,value,5,2733.288459792728,441.963391349099,0,5,0,2080.6184323388625,2833.025053198772,2765.692306645388,3316.7215296077325,2670.3849771728846
ordinary,saved,test_probe,top2,resolution_max_b1,value,5,1334.089876082065,161.17734712866798,0,5,0,1228.2855704883812,1575.886696547159,1236.376465973438,1205.470325539427,1424.4303218619204
ordinary,saved,test_probe,top2,resolution_max_b1,difference vs plain,5,-1399.1985837106627,465.47727177769184,5,0,0,-852.3328618504813,-1257.138356651613,-1529.31584067195,-2111.2512040683055,-1245.9546553109642
ordinary,saved,test_probe,top2,resolution_max_b1,ratio to plain,5,0.4981025359466679,0.09202701111492245,0,5,0,0.5903463851887739,0.5562558279418756,0.44704049796236567,0.36345237752956533,0.5334175911107595
ordinary,saved,test_probe,top2,gaussian_postrelu,value,5,1211.936225268751,111.2614857738853,0,5,0,1293.4086303978886,1331.3600068947535,1105.2576311955188,1084.8340522262224,1244.8208056293718
ordinary,saved,test_probe,top2,gaussian_postrelu,difference vs plain,5,-1521.3522345239771,517.8639556932313,5,0,0,-787.2098019409739,-1501.6650463040187,-1660.434675449869,-2231.88747738151,-1425.5641715435129
