method,epoch,update,joint_change,state_label,state,seed,split,centre_ce_saved,centre_acc_saved,centre_ce_recalibrated,centre_acc_recalibrated,S_recalibrated_eps0.025,S_recalibrated_eps0.05,S_recalibrated_eps0.1,S_recalibrated_eps0.2,S_recalibrated_eps0.25,S_saved_eps0.1,S_saved_eps0.25
gaussian_postrelu,3,1173,False,before,G=1,2,train_probe,1.113965576171875,0.59,1.0626693725585938,0.618,0.010406292724609245,0.041164358520507746,0.15933720092773435,0.48307909240722646,0.6520569000244139,0.3349792022705079,2.2589571838378903
gaussian_postrelu,3,1173,False,before,G=1,2,test_probe,1.166549560546875,0.576,1.1198358764648437,0.584,0.009117053222656301,0.03703695678710939,0.1446483337402344,0.44567271728515634,0.6101675109863282,0.31852940063476576,2.1820074768066404
gaussian_postrelu,3,1173,False,before,G=1,3,train_probe,1.0921451416015624,0.605,1.063499755859375,0.605,0.006306588745117159,0.027821392822265544,0.12189222717285149,0.44441932373046866,0.6372952056884765,0.37088025817871106,2.6872261291503907
gaussian_postrelu,3,1173,False,before,G=1,3,test_probe,1.1621241455078124,0.6,1.1186270751953125,0.615,0.007936755371093795,0.03138645019531257,0.1261676208496094,0.43415939331054687,0.6135817291259766,0.35471196899414076,2.6212643066406254
gaussian_postrelu,3,1173,False,before,G=1,4,train_probe,1.1261680908203124,0.593,1.0478839111328124,0.633,0.00753945617675793,0.03135176086425791,0.12388063049316414,0.44639642944335944,0.6291540618896485,0.428338836669922,2.2295522399902343
gaussian_postrelu,3,1173,False,before,G=1,4,test_probe,1.1471448974609375,0.579,1.0870165405273438,0.611,0.008041598510742176,0.029817730712890643,0.11583665466308593,0.4330065826416016,0.6174027770996094,0.4268363464355468,2.2164889099121092
gaussian_postrelu,3,1173,False,after,G=0.85,0,train_probe,1.168889892578125,0.583,1.1194549560546876,0.606,0.00608747558593743,0.024392971801757722,0.09516452331542961,0.33485106811523435,0.4862435455322265,0.29554003295898434,1.765720639038086
gaussian_postrelu,3,1173,False,after,G=0.85,0,test_probe,1.188793701171875,0.565,1.149741943359375,0.588,0.005398327636718769,0.022252261352539125,0.09070640869140627,0.3266810791015625,0.4726109100341798,0.29302294006347657,1.7187854522705077
gaussian_postrelu,3,1173,False,after,G=0.85,1,train_probe,1.2389942626953125,0.564,1.0909322509765624,0.604,0.00824158935546886,0.03506101379394544,0.13958063354492192,0.4710884826660157,0.6580988311767579,0.4183686401367187,2.5692270751953123
gaussian_postrelu,3,1173,False,after,G=0.85,1,test_probe,1.2595172119140625,0.534,1.1359733276367188,0.588,0.009271987915039071,0.03647189025878903,0.13655402221679686,0.4542250915527344,0.6325807952880858,0.42551652832031256,2.5799493347167965
