method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max,n_negative_S,C_mean,C_direction_sd
plain,2,saved,test_probe,0.02,20,0.022717514801025362,0.007154011030795164,0.008812149047851547,0.041295974731445306,0,113.5875740051268,35.770055153975825
plain,2,saved,test_probe,0.025,20,0.035677141571044894,0.011233904401701003,0.014668395996093708,0.06515869140624997,0,114.16685302734365,35.94849408544321
plain,2,saved,test_probe,0.05,20,0.14709371948242184,0.04922570057548422,0.060910598754882805,0.2778146057128906,0,117.67497558593746,39.38056046038737
plain,2,saved,test_probe,0.1,20,0.661398250579834,0.24080576744621493,0.2632476043701172,1.238104431152344,0,132.2796501159668,48.16115348924297
plain,2,saved,test_probe,0.2,20,3.1633876342773433,1.046436154992941,1.4821871337890626,5.4378511962890625,0,158.16938171386715,52.32180774964704
plain,2,saved,test_probe,0.25,20,4.957202487182617,1.4865794094200655,2.754542175292969,8.177671630859376,0,158.63047958984373,47.570541101442096
plain,2,saved,test_probe,0.35,20,9.158306182861327,2.4604865840093892,6.1706513671875,14.03600244140625,0,149.5233662507972,40.17120953484717
plain,2,saved,test_probe,0.5,20,19.889270642089844,5.736724888281575,10.806933349609375,33.257056884765625,0,159.11416513671875,45.8937991062526
plain,2,recalibrated,train_probe,0.005,20,0.0007532436370849494,0.00014009342755985977,0.0005144004821777126,0.0010237236022949125,0,60.259490966795944,11.20747420478878
plain,2,recalibrated,train_probe,0.01,20,0.0027313531875610324,0.0004647754184006286,0.0018097534179687402,0.0036375465393066464,0,54.627063751220646,9.295508368012571
plain,2,recalibrated,train_probe,0.02,20,0.010037889862060535,0.0014269077981898864,0.00749404525756836,0.012686679840087867,0,50.18944931030268,7.134538990949433
plain,2,recalibrated,train_probe,0.025,20,0.015356618690490714,0.002108775482098145,0.011761951446533192,0.019195777893066396,0,49.14117980957028,6.748081542714062
plain,2,recalibrated,train_probe,0.05,20,0.05654705276489258,0.007504654691914904,0.04655546569824218,0.06973815917968745,0,45.23764221191405,6.003723753531922
plain,2,recalibrated,train_probe,0.1,20,0.20448145294189451,0.023825773225933794,0.17069072723388673,0.24412340545654293,0,40.8962905883789,4.765154645186757
plain,2,recalibrated,train_probe,0.2,20,0.709022646331787,0.07793999030299129,0.601904541015625,0.8308837280273438,0,35.45113231658935,3.8969995151495636
plain,2,recalibrated,train_probe,0.25,20,1.0452871444702148,0.10794919477385297,0.9028978576660156,1.2088187255859375,0,33.44918862304687,3.454374232763295
plain,2,recalibrated,train_probe,0.35,20,1.842307456970215,0.1660128361184842,1.599494659423828,2.0913269958496095,0,30.078489093391266,2.710413650914029
plain,2,recalibrated,train_probe,0.5,20,3.0281396270751952,0.2622791415222774,2.6809880065917966,3.624488800048828,0,24.225117016601562,2.098233132178219
plain,2,recalibrated,test_probe,0.005,20,0.00026075363159180356,0.00016395247078975107,-6.227111816403674e-05,0.0005561370849609393,2,20.860290527344283,13.116197663180087
plain,2,recalibrated,test_probe,0.01,20,0.0010169136047363913,0.0004956754715238833,5.87005615235725e-05,0.0018842010498048012,0,20.338272094727824,9.913509430477667
plain,2,recalibrated,test_probe,0.02,20,0.004248288726806698,0.0016898238386314722,0.0010061340332032653,0.007861221313476552,0,21.241443634033487,8.449119193157358
plain,2,recalibrated,test_probe,0.025,20,0.006867514038085993,0.002587611105375641,0.0019022064208984446,0.011966491699218818,0,21.976044921875168,8.280355537202048
plain,2,recalibrated,test_probe,0.05,20,0.028520932006835982,0.008980897505290148,0.010284118652343799,0.045548141479492266,0,22.81674560546878,7.184718004232117
plain,2,recalibrated,test_probe,0.1,20,0.11107870788574226,0.023122251900951334,0.06076396179199217,0.16104589843750006,0,22.215741577148446,4.624450380190265
plain,2,recalibrated,test_probe,0.2,20,0.4733646980285645,0.07238439687637002,0.36538185119628896,0.635461181640625,0,23.66823490142822,3.6192198438184997
plain,2,recalibrated,test_probe,0.25,20,0.7576317810058593,0.10661145948158375,0.6030960693359375,0.9759825134277345,0,24.244216992187496,3.41156670341068
plain,2,recalibrated,test_probe,0.35,20,1.4694226593017579,0.17212232775323322,1.2434926757812501,1.7897186889648438,0,23.990574029416457,2.8101604531140123
