policy,split,amplitude,method,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4,mean_relative_to_plain
recalibrated,train_probe,0.2,resolution_max_b1,5,-0.18969011001586905,0.04369395957615665,5,0,0,-0.13961517105102544,-0.2540256408691405,-0.20848814773559554,-0.1664419540405272,-0.1798796363830566,-0.2727866906544777
recalibrated,train_probe,0.2,gaussian_postrelu,5,0.21293277481079106,0.094548035463139,0,5,0,0.19506256866455063,0.12245005798339847,0.15206468276977558,0.36546992340087914,0.22961664123535153,0.31278040209601515
recalibrated,train_probe,0.2,resolution_max_b1_gaussian_conv,5,-0.2196968803405761,0.07521094083391466,5,0,0,-0.23594741439819333,-0.2952313850402831,-0.22926259460449205,-0.09342484130859363,-0.2446181663513184,-0.3178614132033046
recalibrated,train_probe,0.25,resolution_max_b1,5,-0.2570071975708007,0.054719998547914796,5,0,0,-0.19821513519287093,-0.34117894058227527,-0.27577287445068344,-0.22754645004272467,-0.24232258758544933,-0.24914896567157854
recalibrated,train_probe,0.25,gaussian_postrelu,5,0.24048544845581055,0.11573789969887278,0,5,0,0.22805771560668964,0.11529131240844714,0.1860933898925783,0.4269353645324707,0.24604945983886695,0.23798182966957987
recalibrated,train_probe,0.25,resolution_max_b1_gaussian_conv,5,-0.3028653343200683,0.09770341289647609,5,0,0,-0.31961134185791007,-0.405489891052246,-0.3067500770568845,-0.14183805160522467,-0.3406373100280762,-0.2948630990359312
recalibrated,train_probe,0.35,resolution_max_b1,5,-0.3722227249145508,0.0683942414559227,5,0,0,-0.3037344284057617,-0.4725666564941404,-0.4105118820190432,-0.3335913818359375,-0.34070927581787114,-0.20609983120787265
recalibrated,train_probe,0.35,gaussian_postrelu,5,0.1894368338012696,0.13979355881860098,0,5,0,0.21148635711669939,0.03204432220458986,0.12353921203613272,0.409050802612305,0.17106347503662112,0.10738243569599375
recalibrated,train_probe,0.35,resolution_max_b1_gaussian_conv,5,-0.44662242553710935,0.11272795133234648,5,0,0,-0.45751616058349587,-0.5590243652343749,-0.46242458953857435,-0.2584276428222656,-0.4957193695068358,-0.24800805918324764
recalibrated,train_probe,0.5,resolution_max_b1,5,-0.4561356893920899,0.06046874070781092,5,0,0,-0.3819830261230468,-0.5223692169189453,-0.5144779113769533,-0.4252093368530274,-0.43663895568847666,-0.15648548918290292
recalibrated,train_probe,0.5,gaussian_postrelu,5,-0.04143074157714839,0.1452564883624904,3,2,0,0.03267929687499915,-0.15474079437255828,-0.1490035552978517,0.17981249847412162,-0.11590115356445274,-0.013183647894445195
recalibrated,train_probe,0.5,resolution_max_b1_gaussian_conv,5,-0.5616446762084959,0.09632803617257406,5,0,0,-0.5563042526245119,-0.5931273452758785,-0.6607452789306638,-0.4030209899902344,-0.5950255142211911,-0.1927951926202284
