method,seed,policy,split,direction,amplitude,L_centre,dL_plus,dL_minus,S,C_d
plain,0,saved,train_probe,0,0.025,0.2235287322998047,0.028175292968749988,0.043100387573242194,0.03563784027099609,114.04108886718747
plain,0,saved,train_probe,1,0.025,0.2235287322998047,0.04365578460693359,0.049446121215820316,0.04655095291137695,148.96304931640623
plain,0,saved,train_probe,2,0.025,0.2235287322998047,0.02225588226318359,0.025592758178710928,0.02392432022094726,76.55782470703122
plain,0,saved,train_probe,3,0.025,0.2235287322998047,0.039593688964843776,0.03744467163085935,0.03851918029785156,123.26137695312498
plain,0,saved,train_probe,4,0.025,0.2235287322998047,0.024897613525390633,0.0227110137939453,0.023804313659667953,76.17380371093743
plain,0,saved,train_probe,5,0.025,0.2235287322998047,0.02922859954833984,0.036261360168457046,0.03274497985839847,104.78393554687509
plain,0,saved,train_probe,6,0.025,0.2235287322998047,0.05022018432617187,0.0407292022705078,0.04547469329833981,145.51901855468736
plain,0,saved,train_probe,7,0.025,0.2235287322998047,0.025948806762695314,0.030668556213378884,0.028308681488037113,90.58778076171875
plain,0,saved,train_probe,8,0.025,0.2235287322998047,0.03815429687499999,0.03983195495605468,0.03899312591552734,124.77800292968746
plain,0,saved,train_probe,9,0.025,0.2235287322998047,0.0463351593017578,0.021901046752929698,0.03411810302734375,109.17792968749998
plain,0,saved,train_probe,10,0.025,0.2235287322998047,0.028579467773437506,0.03280908966064455,0.030694278717041057,98.22169189453136
plain,0,saved,train_probe,11,0.025,0.2235287322998047,0.03526858520507814,0.038377166748046865,0.036822875976562475,117.8332031249999
plain,0,saved,train_probe,12,0.025,0.2235287322998047,0.03578244781494139,0.03795878601074221,0.036870616912841825,117.98597412109382
plain,0,saved,train_probe,13,0.025,0.2235287322998047,0.028598052978515642,0.03565288543701173,0.03212546920776366,102.80150146484368
plain,0,saved,train_probe,14,0.025,0.2235287322998047,0.04422452545166017,0.042158294677734354,0.04319141006469723,138.21251220703112
plain,0,saved,train_probe,15,0.025,0.2235287322998047,0.03990994262695313,0.0371153106689453,0.038512626647949244,123.24040527343756
plain,0,saved,train_probe,16,0.025,0.2235287322998047,0.053735794067382825,0.04012886047363279,0.046932327270507834,150.18344726562503
plain,0,saved,train_probe,17,0.025,0.2235287322998047,0.04923443603515626,0.03572119140625002,0.04247781372070314,135.92900390625002
plain,0,saved,train_probe,18,0.025,0.2235287322998047,0.0457903289794922,0.03734169006347654,0.04156600952148437,133.01123046874997
plain,0,saved,train_probe,19,0.025,0.2235287322998047,0.02783082580566404,0.041361724853515636,0.03459627532958981,110.70808105468737
plain,0,saved,train_probe,0,0.05,0.2235287322998047,0.12812873840332029,0.16464973449707032,0.1463892364501953,117.11138916015622
plain,0,saved,train_probe,1,0.05,0.2235287322998047,0.18927874755859375,0.19752413940429686,0.19340144348144533,154.72115478515624
plain,0,saved,train_probe,2,0.05,0.2235287322998047,0.09514659118652341,0.095134765625,0.09514067840576174,76.11254272460937
plain,0,saved,train_probe,3,0.05,0.2235287322998047,0.19081637573242188,0.15705462646484375,0.17393550109863282,139.14840087890622
plain,0,saved,train_probe,4,0.05,0.2235287322998047,0.10049078369140624,0.08938658142089845,0.09493868255615234,75.95094604492186
plain,0,saved,train_probe,5,0.05,0.2235287322998047,0.1369772491455078,0.1375828552246094,0.13728005218505862,109.82404174804688
plain,0,saved,train_probe,6,0.05,0.2235287322998047,0.1916722869873047,0.1949101715087891,0.19329122924804693,154.63298339843752
plain,0,saved,train_probe,7,0.05,0.2235287322998047,0.11082106018066407,0.11759338378906248,0.11420722198486327,91.3657775878906
plain,0,saved,train_probe,8,0.05,0.2235287322998047,0.15248530578613279,0.15944798278808592,0.15596664428710932,124.77331542968743
plain,0,saved,train_probe,9,0.05,0.2235287322998047,0.1674131622314453,0.10923864746093748,0.1383259048461914,110.6607238769531
plain,0,saved,train_probe,10,0.05,0.2235287322998047,0.11742826843261717,0.12941461181640623,0.12342144012451167,98.73715209960932
plain,0,saved,train_probe,11,0.05,0.2235287322998047,0.15516511535644534,0.14433610534667968,0.1497506103515625,119.80048828124998
plain,0,saved,train_probe,12,0.05,0.2235287322998047,0.1440177764892578,0.15725997924804686,0.15063887786865232,120.51110229492183
plain,0,saved,train_probe,13,0.05,0.2235287322998047,0.12231710815429686,0.13284089660644532,0.12757900238037106,102.06320190429683
plain,0,saved,train_probe,14,0.05,0.2235287322998047,0.21452278137207031,0.16246437072753905,0.1884935760498047,150.79486083984375
plain,0,saved,train_probe,15,0.05,0.2235287322998047,0.1671569366455078,0.17700451660156252,0.17208072662353519,137.66458129882812
plain,0,saved,train_probe,16,0.05,0.2235287322998047,0.19066526794433591,0.1914859466552734,0.19107560729980466,152.8604858398437
plain,0,saved,train_probe,17,0.05,0.2235287322998047,0.1932317047119141,0.1536877136230469,0.1734597091674805,138.76776733398435
