method,seed,policy,direction,amplitude,sign,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
resolution_max_b1_gaussian_conv,3,saved,10,0.25,1,2.4297816162109376,0.42,2.5286962890625,0.426
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.25,1,1.1777893676757814,0.602,1.3173114013671876,0.574
resolution_max_b1_gaussian_conv,3,saved,10,0.25,-1,3.223042724609375,0.281,3.36127099609375,0.273
resolution_max_b1_gaussian_conv,3,recalibrated,10,0.25,-1,1.3840576171875,0.571,1.4347582397460938,0.559
resolution_max_b1_gaussian_conv,3,saved,11,0.025,1,0.3297078857421875,0.895,0.5618960266113281,0.811
resolution_max_b1_gaussian_conv,3,recalibrated,11,0.025,1,0.32025741577148437,0.906,0.5408309631347656,0.82
resolution_max_b1_gaussian_conv,3,saved,11,0.025,-1,0.32218695068359376,0.895,0.5462374420166015,0.818
resolution_max_b1_gaussian_conv,3,recalibrated,11,0.025,-1,0.3137362518310547,0.906,0.5435632781982422,0.82
resolution_max_b1_gaussian_conv,3,saved,11,0.05,1,0.405558837890625,0.866,0.6242020874023437,0.794
resolution_max_b1_gaussian_conv,3,recalibrated,11,0.05,1,0.35749819946289063,0.891,0.5589025421142578,0.817
resolution_max_b1_gaussian_conv,3,saved,11,0.05,-1,0.3928037109375,0.866,0.5934025573730469,0.788
resolution_max_b1_gaussian_conv,3,recalibrated,11,0.05,-1,0.3463152618408203,0.881,0.5652268524169922,0.807
resolution_max_b1_gaussian_conv,3,saved,11,0.1,1,0.7018760681152344,0.765,0.8912352294921875,0.717
resolution_max_b1_gaussian_conv,3,recalibrated,11,0.1,1,0.4731133880615234,0.85,0.6514096069335937,0.777
resolution_max_b1_gaussian_conv,3,saved,11,0.1,-1,0.7116025085449219,0.758,0.88979345703125,0.694
resolution_max_b1_gaussian_conv,3,recalibrated,11,0.1,-1,0.4787193450927734,0.83,0.6716472473144531,0.764
resolution_max_b1_gaussian_conv,3,saved,11,0.2,1,1.9781712646484375,0.48,2.060193603515625,0.448
