seed,method,checkpoint,update,used_in_fit,dist_to_mean,resid_2pc,resid_5pc,resid_10pc,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
1,gaussian_postrelu,update_004691.pt,4691,False,7.8451738580440145,2.749511952759612,2.1294703724557174,1.0726551438735958,-6.976796934935225,2.3046130723502296,-1.6624960838106206,0.49520117929606455,-0.12670625296101623,1.0732340507438973,-0.19379963185239235,-1.1597420784914536,-0.2506988147504059,-0.8870252533975416
1,gaussian_postrelu,update_004693.pt,4693,False,7.84592219933494,2.749030271323337,2.1283631738326436,1.0722705708040867,-6.977872134806166,2.3044800271775627,-1.6625788175527556,0.4970765618730042,-0.12642863594322326,1.071669349476316,-0.1929455643490968,-1.1591572929809597,-0.2503328291301831,-0.8877782843109983
1,gaussian_postrelu,update_004702.pt,4702,False,7.850891515284834,2.7467130329501326,2.1207245140132924,1.073201279978102,-6.984034424034061,2.305499569139005,-1.6651409870793805,0.5086679644140341,-0.12458898895307358,1.0623107993885432,-0.18985027399667634,-1.1556830693813578,-0.24699810482224582,-0.8857497927268765
1,gaussian_postrelu,update_004742.pt,4742,False,7.881839111597341,2.7367423723549553,2.079804500143326,1.0778686195534832,-7.020026274444124,2.31362487767064,-1.6817417629574352,0.5667417389436293,-0.12132805895847568,1.0229240757655287,-0.18711621261867578,-1.1262296575526964,-0.23939657701825548,-0.8698826894204832
1,gaussian_postrelu,update_005815.pt,5815,False,8.45490785502115,2.87863388428623,1.529472487895946,1.143998419939196,-7.579073939605324,2.3992857301982036,-1.8880420918594052,1.5433342438666422,0.025756933162442326,0.3753504949788862,-0.010896676863444602,-0.5283035879805611,-0.2691838768691809,-0.7334727903066522
1,gaussian_postrelu,update_005855.pt,5855,False,8.473965406931903,2.8885875715881677,1.509110701488818,1.1364782066432175,-7.594917224555422,2.4044508544148098,-1.8951009659124514,1.5729706067036169,0.029645384627396097,0.35749833489810445,-0.008628396676047548,-0.5061172506313938,-0.2693295335665224,-0.7275024518523006
1,gaussian_postrelu,update_005864.pt,5864,False,8.4773430450697,2.8900179817713942,1.503613677987147,1.1325322731453185,-7.597685504134597,2.4058919653826276,-1.896747786489699,1.5788223114023017,0.031902755314753,0.35051707170689816,-0.006721224167080486,-0.5025599192647503,-0.26794142626948875,-0.7286688343406309
1,gaussian_postrelu,update_005866.pt,5866,False,8.478335196550383,2.890423250005325,1.5020571771408082,1.1317422728295088,-7.598432516077095,2.4065420086746685,-1.8973641728820754,1.5803026262625637,0.0319938378790134,0.3489042568653951,-0.006148657595837437,-0.5015964961744481,-0.26777944389273073,-0.72818838860277
1,gaussian_postrelu,update_005875.pt,5875,False,8.48576201730079,2.8908163608357635,1.4874675100393326,1.1265113244894145,-7.605648365495597,2.409450294698523,-1.9002968073291484,1.5913066512768586,0.02957742905998803,0.33914095010285794,-0.0048960815973256855,-0.4934984730812323,-0.2638702582992336,-0.7178600263419326
1,gaussian_postrelu,update_005915.pt,5915,False,8.521656107823572,2.897890742448216,1.422591281629672,1.106089756176079,-7.641748340908702,2.41340720953988,-1.9116954801273536,1.6487922584327088,0.03015427650064375,0.28984784862680785,0.0005278409961722019,-0.4544856611898189,-0.24261625159905278,-0.671490498900973
1,gaussian_postrelu,update_006988.pt,6988,False,9.074516401633531,3.363758328293384,0.8930247754431813,0.7622672351314932,-8.054270341015991,2.482077175710466,-2.0887156173056267,2.4767072246316584,0.1434058404969453,-0.32861161254936466,0.12483072286851146,0.1368301701193943,-0.12631400458761302,-0.24123823767450403
1,gaussian_postrelu,update_007028.pt,7028,False,9.088941504757443,3.3774239768617305,0.8822537618927409,0.7416053180929272,-8.064403265053532,2.483397860999169,-2.0923760705375907,2.4958303964183193,0.14633533702622284,-0.34285244995662184,0.13091916904519607,0.15313513141329504,-0.12890321102511265,-0.23160141407143653
1,gaussian_postrelu,update_007037.pt,7037,False,9.091740252679449,3.3813847719532717,0.881318352425515,0.7377068532717622,-8.065857434946034,2.4835300854469744,-2.0930812973586264,2.5009021033094156,0.14676610639219856,-0.34753264825457725,0.13190434445598362,0.1561731880889246,-0.12938725565682124,-0.2306551813084462
1,gaussian_postrelu,update_007039.pt,7039,False,9.09259351677055,3.382197462727401,0.8809543406974092,0.7369272235646427,-8.066470258865976,2.483556874156088,-2.093087979143773,2.502128524166955,0.1466788553263511,-0.34829243877289284,0.13217357536352345,0.15712530231687444,-0.1292756699603381,-0.22987122734326193
1,gaussian_postrelu,update_007048.pt,7048,False,9.098743632267727,3.3885780968664663,0.8782477667665439,0.7324588520587485,-8.070661626644673,2.483766308527242,-2.094642783805235,2.5103999516197693,0.14664947968806824,-0.3540681886642482,0.13282485974265462,0.16354299579860265,-0.12554264628041806,-0.22205669720071486
1,gaussian_postrelu,update_007088.pt,7088,False,9.132205495333821,3.425282196772827,0.877571721067731,0.7220843478735314,-8.091572141829593,2.488187966180049,-2.1039776481008854,2.5523350883833227,0.14590974885276714,-0.3873360824365111,0.1355495335611625,0.19055689014619975,-0.1043850939085614,-0.18197589718264928
1,gaussian_postrelu,update_008161.pt,8161,False,9.59168386070233,3.996999773645102,1.102060459752386,0.3775983879216899,-8.346065103121864,2.523408287929259,-2.220123607779557,3.1286142559444254,0.21046124880960354,-0.8016320752958976,0.21110975989669883,0.5929032416267219,0.01558380138146509,0.1816543165596679
1,gaussian_postrelu,update_008201.pt,8201,False,9.602565584560171,4.0119949792808445,1.1112488994990446,0.3597495106997994,-8.35094640354223,2.5248477691079563,-2.2236262390569204,3.1419892246409775,0.21123365819490486,-0.8123105930762686,0.212563960711037,0.603842999735211,0.01483948430856448,0.18861572190100806
