seed,pc1,pc2,train_probe_ce,train_probe_acc,test_probe_ce,test_probe_acc
0,-7.212319461750508,4.17458686084211,1.1394877319335937,0.604,1.1753104858398438,0.603
0,-7.212319461750508,4.8420437388345405,1.2261114501953125,0.573,1.2587589111328126,0.57
0,-7.212319461750508,5.509500616826973,1.3339249877929686,0.549,1.3634739990234375,0.527
0,-7.212319461750508,6.176957494819401,1.4623038330078124,0.506,1.4878015747070312,0.479
0,-7.212319461750508,6.844414372811833,1.6112578735351561,0.453,1.6292648315429688,0.433
0,-7.212319461750508,7.5118712508042655,1.7749883422851562,0.411,1.7841097412109375,0.392
0,-7.212319461750508,8.179328128796694,1.9443090209960938,0.369,1.9400517578125,0.35
0,-7.212319461750508,8.846785006789126,2.113697448730469,0.332,2.0968763427734376,0.32
0,-6.531836703427596,-11.176921332983799,2.4507130126953127,0.327,2.4538758544921877,0.305
0,-6.531836703427596,-10.509464454991368,2.4039012451171873,0.314,2.3975361328125,0.303
0,-6.531836703427596,-9.842007576998938,2.360601318359375,0.314,2.3490640869140624,0.31
0,-6.531836703427596,-9.174550699006506,2.317393310546875,0.315,2.3002509765625,0.322
0,-6.531836703427596,-8.507093821014076,2.2709842529296873,0.311,2.2489736328125,0.334
0,-6.531836703427596,-7.839636943021645,2.2197509765625,0.312,2.191119873046875,0.33
0,-6.531836703427596,-7.172180065029214,2.1660582275390623,0.305,2.1292255859375,0.342
0,-6.531836703427596,-6.504723187036783,2.10665673828125,0.317,2.06439501953125,0.348
0,-6.531836703427596,-5.837266309044352,2.038099914550781,0.325,1.9926688232421874,0.356
0,-6.531836703427596,-5.169809431051922,1.9580471801757813,0.338,1.9170171508789062,0.371
0,-6.531836703427596,-4.502352553059491,1.8728181762695313,0.354,1.8345958862304688,0.385
0,-6.531836703427596,-3.8348956750670595,1.7807913818359375,0.382,1.7462083740234375,0.401
0,-6.531836703427596,-3.167438797074629,1.6888868408203126,0.412,1.6536452026367188,0.424
0,-6.531836703427596,-2.499981919082199,1.5944734497070312,0.433,1.5588245239257812,0.466
0,-6.531836703427596,-1.8325250410897667,1.498106689453125,0.472,1.4635865478515624,0.487
0,-6.531836703427596,-1.1650681630973363,1.405895751953125,0.512,1.3723484497070313,0.504
0,-6.531836703427596,-0.49761128510490593,1.3158829345703125,0.547,1.2894472045898437,0.536
0,-6.531836703427596,0.16984559288752443,1.2370748291015625,0.574,1.221823486328125,0.561
0,-6.531836703427596,0.8373024708799548,1.1772659301757813,0.594,1.1752669677734375,0.598
0,-6.531836703427596,1.504759348872387,1.1382840576171875,0.615,1.1501124877929687,0.624
0,-6.531836703427596,2.1722162268648173,1.123297607421875,0.622,1.145170654296875,0.627
0,-6.531836703427596,2.8396731048572477,1.1332388305664063,0.615,1.16375537109375,0.615
0,-6.531836703427596,3.50712998284968,1.1697548828125,0.601,1.2056260986328124,0.594
0,-6.531836703427596,4.17458686084211,1.23187255859375,0.579,1.2652129516601562,0.572
0,-6.531836703427596,4.8420437388345405,1.3185681762695312,0.553,1.3491052856445314,0.543
0,-6.531836703427596,5.509500616826973,1.4250256958007812,0.518,1.4517195434570314,0.493
0,-6.531836703427596,6.176957494819401,1.5471021118164063,0.477,1.5725270385742187,0.454
0,-6.531836703427596,6.844414372811833,1.6889863891601562,0.428,1.7128662719726562,0.409
0,-6.531836703427596,7.5118712508042655,1.844794921875,0.378,1.8590289306640626,0.364
0,-6.531836703427596,8.179328128796694,2.002159851074219,0.34,2.005713073730469,0.328
0,-6.531836703427596,8.846785006789126,2.1590380859375,0.305,2.155357421875,0.296
0,-5.851353945104685,-11.176921332983799,2.2082178955078127,0.356,2.2189627685546873,0.334
0,-5.851353945104685,-10.509464454991368,2.171674560546875,0.352,2.1724658203125,0.335
0,-5.851353945104685,-9.842007576998938,2.138074951171875,0.344,2.136792236328125,0.337
0,-5.851353945104685,-9.174550699006506,2.10951513671875,0.345,2.1071702880859373,0.341
0,-5.851353945104685,-8.507093821014076,2.08486767578125,0.334,2.07775537109375,0.348
0,-5.851353945104685,-7.839636943021645,2.059208984375,0.33,2.0462088623046877,0.353
0,-5.851353945104685,-7.172180065029214,2.0331476440429688,0.328,2.00604248046875,0.35
0,-5.851353945104685,-6.504723187036783,2.000229736328125,0.322,1.9639490966796875,0.359
0,-5.851353945104685,-5.837266309044352,1.956983154296875,0.333,1.91833544921875,0.361
0,-5.851353945104685,-5.169809431051922,1.90152685546875,0.34,1.8647736206054688,0.378
0,-5.851353945104685,-4.502352553059491,1.8421098022460938,0.351,1.8038033447265625,0.386
0,-5.851353945104685,-3.8348956750670595,1.774870849609375,0.362,1.7380059814453126,0.391
0,-5.851353945104685,-3.167438797074629,1.7016910400390626,0.38,1.6652137451171876,0.417
0,-5.851353945104685,-2.499981919082199,1.6251757202148438,0.42,1.5869645385742188,0.436
0,-5.851353945104685,-1.8325250410897667,1.5443944091796875,0.451,1.50778173828125,0.46
0,-5.851353945104685,-1.1650681630973363,1.4672709350585937,0.485,1.4326046142578126,0.485
