method,seed,policy,split,direction,amplitude,S_f32,S_f64,diff,L0_diff,suspicious,C_f32,C_f64
plain,3,saved,train_probe,1,0.01,0.010436721801757809,0.010436785693097556,-6.389133974660233e-08,7.284948305708028e-08,False,208.73443603515616,208.7357138619511
plain,3,saved,train_probe,1,0.02,0.04330223464965818,0.04330229392228829,-5.927263010963024e-08,7.284948305708028e-08,False,216.5111732482909,216.51146961144144
plain,3,saved,train_probe,1,0.05,0.2872142181396484,0.2872142680279891,-4.988834068075931e-08,7.284948305708028e-08,False,229.7713745117187,229.77141442239125
plain,3,saved,test_probe,0,0.005,0.003216476440429661,0.003216419895826994,5.654460266679706e-08,-2.0631553576677675e-08,False,257.31811523437284,257.31359166615954
plain,3,saved,test_probe,0,0.01,0.012358673095703154,0.012358544954667705,1.2814103544922517e-07,-2.0631553576677675e-08,False,247.17346191406307,247.17089909335408
plain,3,saved,test_probe,0,0.02,0.04655587768554681,0.046555762221274444,1.1546427236552859e-07,-2.0631553576677675e-08,False,232.77938842773403,232.77881110637222
plain,3,saved,test_probe,0,0.05,0.3017773895263671,0.3017770335439367,3.559824304222303e-07,-2.0631553576677675e-08,False,241.42191162109364,241.4216268351493
plain,3,saved,test_probe,1,0.005,0.002931365966796884,0.002931332433798506,3.353299837804968e-08,-2.0631553576677675e-08,False,234.5092773437507,234.50659470388047
plain,3,saved,test_probe,1,0.01,0.011564819335937448,0.011564742222229585,7.711370786367411e-08,-2.0631553576677675e-08,False,231.29638671874895,231.2948444445917
plain,3,saved,test_probe,1,0.02,0.04491876220703128,0.04491872093421123,4.1272820050508585e-08,-2.0631553576677675e-08,False,224.5938110351564,224.59360467105614
plain,3,saved,test_probe,1,0.05,0.28436204528808595,0.2843619625908771,8.269720885856202e-08,-2.0631553576677675e-08,False,227.4896362304687,227.48957007270164
plain,3,recalibrated,train_probe,0,0.005,0.0007254524230957127,0.0007254390932361909,1.332985952173793e-08,-7.24756535341875e-09,False,58.03619384765701,58.035127458895275
plain,3,recalibrated,train_probe,0,0.01,0.0031773872375488177,0.003177405723701371,-1.8486152553176538e-08,-7.24756535341875e-09,False,63.54774475097635,63.548114474027415
plain,3,recalibrated,train_probe,0,0.02,0.011536315917968748,0.011536339325003364,-2.3407034616118594e-08,-7.24756535341875e-09,False,57.681579589843736,57.68169662501682
plain,3,recalibrated,train_probe,0,0.05,0.060997177124023444,0.06099715462768543,2.2496338014654782e-08,-7.24756535341875e-09,False,48.79774169921875,48.79772370214833
plain,3,recalibrated,train_probe,1,0.005,0.0006602058410644374,0.0006601927281708886,1.311289354877232e-08,-7.24756535341875e-09,False,52.816467285154985,52.81541825367108
plain,3,recalibrated,train_probe,1,0.01,0.002370643615722673,0.002370611465266792,3.2150455880897155e-08,-7.24756535341875e-09,False,47.41287231445346,47.412229305335835
plain,3,recalibrated,train_probe,1,0.02,0.008769054412841787,0.008769014392162405,4.002067938158049e-08,-7.24756535341875e-09,False,43.845272064208935,43.84507196081202
