problem,method,seed,probe,policy,coords,vector,r2_frac_conv1,l2_frac_conv1,r2_frac_stage 1,l2_frac_stage 1,r2_frac_stage 2,l2_frac_stage 2,r2_frac_stage 3,l2_frac_stage 3,r2_frac_fc,l2_frac_fc
gaussian_s0_test_saved_ord,gaussian_postrelu,0,test_probe,saved,ordinary,top2,0.004904580579351618,0.009452812528316404,0.10107992486345586,0.1073859190036322,0.3927584222796643,0.3936513924903608,0.5001840204511899,0.4875274770658861,0.0010730518263382413,0.0019823989118045136
gaussian_s0_test_saved_ord,gaussian_postrelu,0,test_probe,saved,ordinary,min,0.004479907230232788,0.005736002102880292,0.059893278529718263,0.06262188151531413,0.2969835520194474,0.29970616974871445,0.6378998050820668,0.6306215336628306,0.0007434571385348535,0.0013144129702605367
gaussian_s0_test_saved_rel,gaussian_postrelu,0,test_probe,saved,relative,top1,0.00840688050640883,0.015496741363766218,0.11458905842170765,0.12221156111371369,0.36159219154684336,0.3643722876847641,0.5121540698848442,0.49259400934988434,0.0032577996401958083,0.005325400487871585
gaussian_s0_test_saved_rel,gaussian_postrelu,0,test_probe,saved,relative,top2,0.024290157067739192,0.0541113218327087,0.117317775107559,0.12243278810993702,0.39657922414054125,0.3854492771951384,0.4582116316284631,0.4316109907662575,0.0036012120556973702,0.00639562209595847
gaussian_s0_test_saved_rel,gaussian_postrelu,0,test_probe,saved,relative,min,0.006666142133440362,0.011613029360762002,0.06699593349121016,0.07056245074505323,0.302791326180669,0.304315241903236,0.6212096181059469,0.6092543700384209,0.0023369800887335862,0.004254907952527931
gaussian_s0_train_centre_frozen_ord,gaussian_postrelu,0,train_probe,centre_frozen,ordinary,top1,0.0034573164520770206,0.005589416014961751,0.08185569422079439,0.08700478813210825,0.4068265727930566,0.41005821888209104,0.5067719895855061,0.49535290488066264,0.0010884269485660013,0.001994672090176255
gaussian_s0_train_centre_frozen_ord,gaussian_postrelu,0,train_probe,centre_frozen,ordinary,top2,0.0024672492181776495,0.0035611327282397826,0.07572563341258338,0.08007672464885368,0.36424933463166004,0.36911612460289134,0.5559527334106209,0.5446453868453384,0.0016050493269581464,0.0026006311746768146
gaussian_s0_train_centre_frozen_ord,gaussian_postrelu,0,train_probe,centre_frozen,ordinary,min,0.005025023517635845,0.006241281781209127,0.07495574796286503,0.07982465673569208,0.35374871207932246,0.35843548232732947,0.5656168654028256,0.5543648225429558,0.0006536510373510191,0.0011337566128136346
gaussian_s0_train_centre_frozen_rel,gaussian_postrelu,0,train_probe,centre_frozen,relative,top1,0.012298374476608582,0.025971049818406967,0.095612201639546,0.10173406131429666,0.4135236242268663,0.4101756292778858,0.474944655332114,0.45561484292733867,0.003621144324865147,0.006504416662071883
gaussian_s0_train_centre_frozen_rel,gaussian_postrelu,0,train_probe,centre_frozen,relative,top2,0.007050414424468874,0.01475062149943949,0.08682448972295946,0.09240375471168136,0.37328823962916496,0.37517431220386366,0.5286539294322868,0.5109167536014684,0.004182926791119805,0.00675455798354709
gaussian_s0_train_centre_frozen_rel,gaussian_postrelu,0,train_probe,centre_frozen,relative,min,0.0070094758657235304,0.010799528395819234,0.08796823379499806,0.094005773768354,0.3810302746542379,0.38477721793343717,0.5219975816318554,0.5068634384122097,0.001994434053185072,0.003554041490179868
gaussian_s0_train_saved_ord,gaussian_postrelu,0,train_probe,saved,ordinary,top1,0.0032378701212490957,0.005221519868594722,0.08210748736081493,0.087159826648863,0.41113885560169344,0.4144129694286773,0.5024181722875042,0.4912012305752377,0.0010976146287383912,0.002004453478627333
gaussian_s0_train_saved_ord,gaussian_postrelu,0,train_probe,saved,ordinary,top2,0.002322962202509254,0.0034801824186580675,0.07875927998631231,0.08309009399867201,0.364097874816963,0.36920835066444063,0.5532880928135526,0.5417273721107987,0.0015317901806628296,0.0024940008074304985
gaussian_s0_train_saved_ord,gaussian_postrelu,0,train_probe,saved,ordinary,min,0.0037681655913607086,0.004881748451211743,0.05851588850609938,0.06234590627633716,0.3203292182195014,0.3267466467005178,0.6165726612030594,0.6045644666457866,0.0008140664799791217,0.0014612319261467902
gaussian_s0_train_saved_rel,gaussian_postrelu,0,train_probe,saved,relative,top1,0.011503372000853884,0.024279151190974853,0.09532827637280583,0.10143749747948459,0.4176819617136266,0.4146700023571257,0.4718565104533256,0.45310353241322704,0.003629879459388048,0.006509816559187783
gaussian_s0_train_saved_rel,gaussian_postrelu,0,train_probe,saved,relative,top2,0.0074441008583236426,0.016291469183897962,0.0906853570136119,0.0962306233866332,0.3743071758747013,0.3759719259839061,0.5235413688467986,0.505000728562859,0.004021997406564554,0.006505252882703628
gaussian_s0_train_saved_rel,gaussian_postrelu,0,train_probe,saved,relative,min,0.006161254201509186,0.010590160715839772,0.06841905115620006,0.0732774267854332,0.33797506380408426,0.3433465247057683,0.584753919254916,0.5678156220683128,0.00269071158329047,0.004970265724645904
gaussian_s1_test_centre_frozen_ord,gaussian_postrelu,1,test_probe,centre_frozen,ordinary,top1,0.005458168884673649,0.008933298590566022,0.12586181673312727,0.1318235234239793,0.31962642572278244,0.32580696961399286,0.5479580678261159,0.5316332212182515,0.0010955208333006563,0.0018029871532102637
gaussian_s1_test_centre_frozen_ord,gaussian_postrelu,1,test_probe,centre_frozen,ordinary,top2,0.006332678448074482,0.008682760851316917,0.13964105725447046,0.14371125587582953,0.35779103497349257,0.3627787327981342,0.4950960463665371,0.4829491063937092,0.0011391829574254513,0.0018781440810101112
gaussian_s1_test_centre_frozen_ord,gaussian_postrelu,1,test_probe,centre_frozen,ordinary,min,0.006498129428649544,0.008783063065563748,0.04759402840530807,0.05104919752559953,0.24388030644648395,0.24935269066778212,0.7007968460518974,0.6887498476246162,0.0012306896676609015,0.0020652011164383963
gaussian_s1_test_centre_frozen_rel,gaussian_postrelu,1,test_probe,centre_frozen,relative,top1,0.019604282350729436,0.042085174264655224,0.13869193147236536,0.14365871144927436,0.33317278644429116,0.3320162149402503,0.5055897452525246,0.47742019958567117,0.002941254480089383,0.004819699760148864
gaussian_s1_test_centre_frozen_rel,gaussian_postrelu,1,test_probe,centre_frozen,relative,top2,0.014560263095437119,0.025945652110816394,0.15424710259973654,0.15904873647556192,0.36544907783253877,0.3659816876306871,0.4625507582612752,0.4435354707391357,0.0031927982110125284,0.005488453043798911
gaussian_s1_test_centre_frozen_rel,gaussian_postrelu,1,test_probe,centre_frozen,relative,min,0.010627002547339798,0.017322529779088974,0.054793087759327216,0.059993023016202275,0.253438076727778,0.25775628463333694,0.6775676537304679,0.658732214623604,0.0035741792350870998,0.006195947947767796
gaussian_s1_test_saved_ord,gaussian_postrelu,1,test_probe,saved,ordinary,top1,0.005393658927606426,0.0088868692740721,0.1151133582713574,0.1203039337673581,0.3196675433501919,0.32598849331487134,0.5587793958359798,0.5430611568280485,0.001046043614864472,0.0017595468156500606
gaussian_s1_test_saved_ord,gaussian_postrelu,1,test_probe,saved,ordinary,top2,0.006087175874253155,0.00805233035833233,0.1352945045424167,0.1393654721472301,0.35323253101077773,0.35846220958822067,0.5042721492079232,0.49226278093428666,0.001113639364629292,0.0018572069719301372
gaussian_s1_test_saved_ord,gaussian_postrelu,1,test_probe,saved,ordinary,min,0.009047208175768234,0.011376034256320233,0.06940090030015073,0.07377692063258194,0.27215220694063086,0.2779348144649396,0.6483868641666162,0.6350744934428739,0.0010128204168340404,0.0018377372032843367
gaussian_s1_test_saved_rel,gaussian_postrelu,1,test_probe,saved,relative,top1,0.01962934895980487,0.04231194853135363,0.12660022186162387,0.13097517717575272,0.3329860856351964,0.33216690442357444,0.5178521126158322,0.48968383058250425,0.0029322309275427423,0.004862139286814966
gaussian_s1_test_saved_rel,gaussian_postrelu,1,test_probe,saved,relative,top2,0.012492499915695246,0.020373569010938685,0.15021334184858368,0.15550212365319543,0.36212876757671,0.3641451301797621,0.47198517217863645,0.4544518889569923,0.0031802184803746756,0.005527288199111529
gaussian_s1_test_saved_rel,gaussian_postrelu,1,test_probe,saved,relative,min,0.011943628609695297,0.017828023961070867,0.07915963419150619,0.08499939584181179,0.28786061844573946,0.2921339874120485,0.6177312357351248,0.5989746296346834,0.0033048830179340997,0.006063963150385406
gaussian_s1_train_centre_frozen_ord,gaussian_postrelu,1,train_probe,centre_frozen,ordinary,top1,0.004576363530423742,0.007062670241690738,0.14194651404900382,0.14901092542279828,0.33481281364408266,0.33995109392662215,0.5175845560338107,0.5022004530500077,0.0010797527426789763,0.0017748573588809477
gaussian_s1_train_centre_frozen_ord,gaussian_postrelu,1,train_probe,centre_frozen,ordinary,top2,0.0034555003852125635,0.0048688493528065415,0.11125454570175632,0.11442258854696763,0.33687179630309444,0.34367771586809615,0.5473225149790778,0.5351394409470828,0.0010956426308587424,0.0018914052850470108
gaussian_s1_train_centre_frozen_ord,gaussian_postrelu,1,train_probe,centre_frozen,ordinary,min,0.0042383440023778035,0.005613650681616844,0.05376429370657651,0.05732445697094161,0.28199496877620295,0.28585246624628036,0.6586672908532406,0.6490049138781844,0.001335102661602288,0.0022045122229768107
gaussian_s1_train_centre_frozen_rel,gaussian_postrelu,1,train_probe,centre_frozen,relative,top1,0.016511341286368948,0.03673888536052037,0.15630975123485977,0.1623440891973994,0.3467383517092974,0.3445383049878994,0.4775335945811512,0.4516500793622025,0.002906961188322619,0.0047286410919783915
gaussian_s1_train_centre_frozen_rel,gaussian_postrelu,1,train_probe,centre_frozen,relative,top2,0.010061630284319199,0.021016138209590442,0.1227391335550408,0.1267781917266912,0.34849395024330726,0.3512283726898697,0.5153493341396111,0.4949449532349791,0.0033559517777215124,0.006032344138869561
gaussian_s1_train_centre_frozen_rel,gaussian_postrelu,1,train_probe,centre_frozen,relative,min,0.007318601714119227,0.011302772037990513,0.061607064567176455,0.06685075653004825,0.28629577361727887,0.28908468653076663,0.6410040220448529,0.6263111720754194,0.0037745380565726333,0.006450612825775252
gaussian_s1_train_saved_ord,gaussian_postrelu,1,train_probe,saved,ordinary,top1,0.00467093659983019,0.007495486019403168,0.133798597155699,0.1403063497868313,0.3392499766046948,0.34448249823226645,0.5212289782468761,0.5059587668364804,0.001051511392899799,0.0017568991250186763
