method,seed,probe,policy,direction,dHd,g_dot_d,L0,grad_norm
plain,3,train_probe,saved,17,112.94386889473536,0.15365302482712984,0.17937830090522766,4.42861092513591
plain,3,train_probe,saved,18,73.49212649340639,-0.23739705030487337,0.17937830090522766,4.42861092513591
plain,3,train_probe,saved,19,139.18871870644907,0.1543514727122778,0.17937830090522766,4.42861092513591
plain,3,train_probe,centre_frozen,0,187.77274500684896,-0.20392912842632988,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,1,189.30199815840012,-0.17360478091656462,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,2,104.49481444516677,0.10372723256399846,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,3,131.99802522339485,0.21042362946481297,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,4,89.2144901377234,0.4131271009750576,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,5,90.43831361908101,-0.13375016754779515,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,6,54.98766492087123,0.02305044272567558,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,7,91.97823777631916,0.30302026946893124,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,8,112.13428553105805,0.17531382886453065,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,9,97.78949856285314,-0.24021296766118078,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,10,68.95781746604531,-0.29994177981051323,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,11,77.66796982116472,-0.19728623951821944,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,12,124.26593652728957,-0.047014664450585275,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,13,61.64310828820511,0.07650452919135799,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,14,104.40529704824817,-0.23822520314055834,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,15,66.41064098805275,-0.10132829685623784,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,16,79.70178106945454,0.007370092235939922,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,17,113.17900163868083,0.09379511815644995,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,18,72.67583609223716,-0.27352659484487013,0.1770452857017517,3.899627744365763
plain,3,train_probe,centre_frozen,19,137.44802631595792,0.10258996162144007,0.1770452857017517,3.899627744365763
plain,3,test_probe,saved,0,286.0760795231908,-0.45337693604369994,0.767693042755127,7.053101995452172
plain,3,test_probe,saved,1,270.48860017270346,0.005326221716246915,0.767693042755127,7.053101995452172
plain,3,test_probe,saved,2,160.34756450540053,0.15632987567001683,0.767693042755127,7.053101995452172
plain,3,test_probe,saved,3,204.03330010575093,-1.0950229397818483,0.767693042755127,7.053101995452172
plain,3,test_probe,saved,4,147.57932682803724,-1.331698607685141,0.767693042755127,7.053101995452172
plain,3,test_probe,saved,5,130.1626146013619,0.737882997967475,0.767693042755127,7.053101995452172
plain,3,test_probe,saved,6,92.35910752748163,1.0792905434028661,0.767693042755127,7.053101995452172
