method,seed,epoch,update,state_label,state,produced_state,next_update_state,equals_final,policy,split,centre_ce,centre_acc,S_eps0.1,n_dirs_eps0.1,S_eps0.25,n_dirs_eps0.25
resolution_max_b1,0,18,7038,final,r=32,r=32,r=32,True,saved,train_probe,0.4586502990722656,0.837,0.29881685638427735,10,2.309995462036133,10
resolution_max_b1,0,18,7038,final,r=32,r=32,r=32,True,saved,test_probe,0.6037255859375,0.78,0.28558797454833984,10,2.268445651245117,10
resolution_max_b1,0,18,7038,final,r=32,r=32,r=32,True,recalibrated,train_probe,0.4510435333251953,0.839,0.08702412261962891,10,0.5464585372924804,10
resolution_max_b1,0,18,7038,final,r=32,r=32,r=32,True,recalibrated,test_probe,0.5953506164550781,0.78,0.07134160614013671,10,0.4816776733398437,10
resolution_max_b1,0,21,8211,produced,r=32,r=32,r=32,True,saved,train_probe,0.386768310546875,0.872,0.3313818054199219,10,2.648866278076172,10
resolution_max_b1,0,21,8211,produced,r=32,r=32,r=32,True,saved,test_probe,0.5730894775390625,0.805,0.3059410537719726,10,2.5669682006835943,10
resolution_max_b1,0,21,8211,produced,r=32,r=32,r=32,True,recalibrated,train_probe,0.3831217346191406,0.87,0.10279496383666993,10,0.6112421203613281,10
resolution_max_b1,0,21,8211,produced,r=32,r=32,r=32,True,recalibrated,test_probe,0.573366455078125,0.802,0.07360792083740236,10,0.5082596115112304,10
resolution_max_b1,0,21,8211,final,r=32,r=32,r=32,True,saved,train_probe,0.386768310546875,0.872,0.3313818054199219,10,2.648866278076172,10
resolution_max_b1,0,21,8211,final,r=32,r=32,r=32,True,saved,test_probe,0.5730894775390625,0.805,0.3059410537719726,10,2.5669682006835943,10
resolution_max_b1,0,21,8211,final,r=32,r=32,r=32,True,recalibrated,train_probe,0.3831217346191406,0.87,0.10279496383666993,10,0.6112421203613281,10
resolution_max_b1,0,21,8211,final,r=32,r=32,r=32,True,recalibrated,test_probe,0.573366455078125,0.802,0.07360792083740236,10,0.5082596115112304,10
resolution_max_b1,0,30,11730,produced,r=32,r=32,-,True,saved,train_probe,0.3205525207519531,0.896,0.38906363983154296,10,3.0221562530517576,10
resolution_max_b1,0,30,11730,produced,r=32,r=32,-,True,saved,test_probe,0.5638476867675781,0.809,0.34480276184082037,10,2.898619479370118,10
resolution_max_b1,0,30,11730,produced,r=32,r=32,-,True,recalibrated,train_probe,0.31810240173339843,0.896,0.1268055931091309,10,0.7164742782592773,10
resolution_max_b1,0,30,11730,produced,r=32,r=32,-,True,recalibrated,test_probe,0.5604129028320313,0.811,0.08720452270507809,10,0.5860060592651367,10
resolution_max_b1,0,30,11730,final,r=32,r=32,-,True,saved,train_probe,0.3205525207519531,0.896,0.38906363983154296,10,3.0221562530517576,10
