policy,split,method_state,method,epoch,quantity,n_seeds,mean,sd,n_negative,n_positive,n_zero,seed0,seed1,seed2,seed3,seed4
saved,train_probe,produced,gaussian_postrelu,9,S_eps0.1,5,0.1744815267944336,0.04652304096330847,0,5,0,0.2035688369750977,0.11017181091308581,0.14053870239257815,0.20094834442138693,0.2171799392700195
saved,train_probe,produced,gaussian_postrelu,9,S_eps0.25,5,0.5787551507568359,0.1979694478748138,0,5,0,0.6018436248779291,0.38708486328125025,0.8012530853271485,0.3666779022216802,0.7369162780761718
saved,train_probe,produced,gaussian_postrelu,12,centre_ce,5,-0.038615191650390665,0.03448336894380635,5,0,0,-0.09139082336425786,-0.005965881347656299,-0.03204846191406252,-0.051458251953125034,-0.01221253967285163
saved,train_probe,produced,gaussian_postrelu,12,S_eps0.1,5,0.18049679046630865,0.05369555353670793,0,5,0,0.1982151733398438,0.11047725372314454,0.15168563385009765,0.18791318817138686,0.25419270324707044
saved,train_probe,produced,gaussian_postrelu,12,S_eps0.25,5,0.5555306427001951,0.45417618885305144,1,4,0,1.0959707672119139,-0.04291146240234456,0.8054799346923831,0.24276327514648477,0.6763506988525387
saved,train_probe,produced,gaussian_postrelu,18,centre_ce,5,0.02646378784179686,0.03594256748295539,1,4,0,0.0338486328125,0.03902062988281252,-0.03681822204589846,0.045740432739257764,0.05052746582031248
saved,train_probe,produced,gaussian_postrelu,18,S_eps0.1,5,0.0728771392822266,0.10264979670862011,1,4,0,0.14653510894775396,-0.08746231689453132,0.046688087463378936,0.08482679443359387,0.17379802246093756
saved,train_probe,produced,gaussian_postrelu,18,S_eps0.25,5,-0.20979903320312507,0.49319600272427905,2,3,0,0.1627429901123052,-1.0320166503906254,0.04339806213378905,-0.3048589691162116,0.08173940124511736
saved,train_probe,produced,gaussian_postrelu,21,centre_ce,5,0.06426232757568359,0.01180603738708674,0,5,0,0.061672607421875025,0.05653413391113282,0.057695625305175746,0.06034680938720699,0.08506246185302735
saved,train_probe,produced,gaussian_postrelu,21,S_eps0.1,5,-0.008621904296875016,0.12134882976480638,3,2,0,0.07290785522460919,-0.19341565551757822,-0.03796982879638666,-0.007323872375488261,0.12269197998046888
saved,train_probe,produced,gaussian_postrelu,21,S_eps0.25,5,-0.7884345779418942,0.4195026222137765,5,0,0,-0.3968215270996094,-1.409740188598632,-0.5695774734497068,-1.0244616897583008,-0.5415720108032223
