method,split,amplitude,n_seeds,ratio_pw_over_cf_median,ratio_pw_over_cf_min,ratio_pw_over_cf_max,delta_centre_frozen_mean,delta_centre_frozen_sd,relchange_centre_frozen_mean,n_below_plain_centre_frozen,delta_pointwise_mean,delta_pointwise_sd,relchange_pointwise_mean,n_below_plain_pointwise,delta_saved_mean,delta_saved_sd,relchange_saved_mean,n_below_plain_saved,n_seeds_sign_differs_cf_vs_pw
resolution_max_b1_gaussian_conv,test_probe,0.025,5,0.26513963247375805,0.2273601780001315,0.3301115495452983,-0.014001020507812562,0.002651267874918834,-0.41384530986248447,5.0,-0.00092424118041998,0.0008831477533597334,-0.13783668311425928,4.0,-0.01368207443237306,0.003150544283381803,-0.40471706438709604,5.0,1.0
resolution_max_b1_gaussian_conv,test_probe,0.05,5,0.25781432002874394,0.22144838763818572,0.3305713848567719,-0.05765314483642583,0.008441902977672135,-0.40961068782640486,5.0,-0.004027152404785199,0.003663256165561033,-0.15272917049843865,4.0,-0.05659840209960938,0.00968783775843629,-0.4033758425074246,5.0,1.0
resolution_max_b1_gaussian_conv,test_probe,0.1,5,0.230443280398416,0.20307300627840613,0.2997064348298518,-0.24765725662231453,0.04554651063447361,-0.391291076964169,5.0,-0.013439123077392642,0.015705576979627118,-0.13087328305127605,4.0,-0.2445999482727051,0.04593254597188193,-0.3877104431454257,5.0,1.0
resolution_max_b1_gaussian_conv,test_probe,0.2,5,0.18142353060249608,0.16586289196316203,0.24271234385660523,-1.0388669564819335,0.2431191904302657,-0.33972671875298033,5.0,-0.06316860275268552,0.07240183661918934,-0.13947121769183263,4.0,-1.035916214904785,0.2080884498275284,-0.33927480859729126,5.0,1.0
resolution_max_b1_gaussian_conv,test_probe,0.25,5,0.17515279649829682,0.16236706565897238,0.22687769062237612,-1.511430445861817,0.406199618755821,-0.30817561520543896,5.0,-0.10474246444702143,0.10213627909773283,-0.14369327316295816,4.0,-1.509822388000488,0.33625796894114085,-0.3081838452342314,5.0,1.0
resolution_max_b1_gaussian_conv,test_probe,0.35,5,0.1660388277692127,0.15338510471045774,0.2006447744399613,-2.4223868255615235,1.0074133660161124,-0.2521109542911448,5.0,-0.18715736267089836,0.128377340639928,-0.13331609260875116,4.0,-2.427013253784179,0.8934775793536432,-0.2526861660136319,5.0,1.0
resolution_max_b1_gaussian_conv,test_probe,0.5,5,0.1344025924452004,0.11846974448106161,0.14965524433471664,-4.2903139428710935,2.55928986923369,-0.20404297805849064,5.0,-0.26400154296875017,0.12329304332589756,-0.10840539859113267,5.0,-4.320460350341797,2.4213696371526785,-0.2048455413050445,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.005,5,0.33264317980932767,0.3060791071253236,0.4690585158548588,-0.00072214672088622,0.0002467292655231891,-0.4262652000377389,5.0,-0.00028231288909910006,0.00016775113979135154,-0.43396304539063546,5.0,-0.00065492679595946,0.00025915182245099685,-0.3944385508660441,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.01,5,0.34077322362141527,0.3221968050215281,0.46774847143832615,-0.00269125968933104,0.0007642905750975948,-0.40883239411350747,5.0,-0.0009853330993652599,0.0005211836852777146,-0.4011452248539751,5.0,-0.0025856811904907398,0.0007939824338769746,-0.3971603546585367,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.02,5,0.336908578801378,0.3340598317792146,0.4579420366231585,-0.01044675682067872,0.002366116929972859,-0.40264034699816553,5.0,-0.00350118144989012,0.001599334196420357,-0.3781240179066668,5.0,-0.010425568275451661,0.0022809453106514338,-0.40339041538137305,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.025,5,0.3390173670845319,0.33095031078353093,0.4531202109223762,-0.01643219139099124,0.0033343075046084656,-0.4051998753706334,5.0,-0.005306600303649921,0.0023116770111035515,-0.3736411228475295,5.0,-0.01642867767333986,0.003155638441592406,-0.40646042635524837,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.05,5,0.3307968696528079,0.3164500469801087,0.4269222505600701,-0.07016492141723633,0.009823983400488425,-0.4202709905588026,5.0,-0.01909220287322994,0.007415561262223068,-0.3604476298212414,5.0,-0.0699087376022339,0.009204550208649685,-0.42000143762558917,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.1,5,0.28554655436439874,0.2647253940096207,0.3617938724397557,-0.31445875152587893,0.03988265511072827,-0.4267500102574708,5.0,-0.06796291053771972,0.024992097117535302,-0.3501092137530195,5.0,-0.31227576095581056,0.03444568100648405,-0.4253339602120506,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.2,5,0.21493162290640005,0.1986909116157874,0.2682050940946541,-1.2430201478576661,0.2596064530929443,-0.3684476144363756,5.0,-0.21969688034057616,0.07521094083391468,-0.3178614132033046,5.0,-1.240911994171143,0.21450709431542456,-0.3682494121164509,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.25,5,0.19706419516392695,0.1886546158960402,0.24682602349125246,-1.7647046398925785,0.453051990283952,-0.33220560025545265,5.0,-0.30286533432006835,0.09770341289647612,-0.2948630990359312,5.0,-1.7633243170166017,0.3789647261679516,-0.3321576541785055,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.35,5,0.18455309702098988,0.17055526938206972,0.21681901868903955,-2.7067671551513675,1.0701424359317604,-0.2676185502982006,5.0,-0.44662242553710935,0.1127279513323465,-0.24800805918324764,5.0,-2.711733454589844,0.9568126436927493,-0.2680644839893346,5.0,0.0
resolution_max_b1_gaussian_conv,train_probe,0.5,5,0.14572771929226797,0.12563203931160102,0.16097484788716482,-4.600644903564456,2.5930436161024497,-0.21287921977559834,5.0,-0.5616446762084962,0.09632803617257395,-0.19279519262022848,5.0,-4.629990535278322,2.454045371995487,-0.21353367802111958,5.0,0.0
