method,u1,u2,t1,t2,T1,T2,train_probe_ce,test_probe_ce,train_probe_ce_centred,test_probe_ce_centred
resolution_max_b1,0.5,-0.2,0.0006119399785200134,-0.00029290071625208815,0.0012238799570400269,0.0014645035812604406,0.6818058471679688,0.941375244140625,0.36370344543457034,0.38096234130859374
resolution_max_b1,0.5,-0.15,0.0006119399785200134,-0.00021967553718906608,0.0012238799570400269,0.0014645035812604406,0.6680721130371093,0.9307918090820313,0.3499697113037109,0.37037890625000003
resolution_max_b1,0.5,-0.1,0.0006119399785200134,-0.00014645035812604407,0.0012238799570400269,0.0014645035812604406,0.6613385314941407,0.9285445556640625,0.34323612976074225,0.3681316528320312
resolution_max_b1,0.5,-0.05,0.0006119399785200134,-7.322517906302204e-05,0.0012238799570400269,0.0014645035812604406,0.6616618041992187,0.9346598510742188,0.3435594024658203,0.3742469482421875
resolution_max_b1,0.5,0.0,0.0006119399785200134,0.0,0.0012238799570400269,0.0014645035812604406,0.6692525939941406,0.9490717468261719,0.3511501922607422,0.38865884399414063
resolution_max_b1,0.5,0.05,0.0006119399785200134,7.322517906302204e-05,0.0012238799570400269,0.0014645035812604406,0.6841468505859375,0.9715948181152344,0.36604444885253906,0.41118191528320314
resolution_max_b1,0.5,0.1,0.0006119399785200134,0.00014645035812604407,0.0012238799570400269,0.0014645035812604406,0.70653564453125,1.0019479675292968,0.3884332427978515,0.44153506469726556
resolution_max_b1,0.5,0.15,0.0006119399785200134,0.00021967553718906608,0.0012238799570400269,0.0014645035812604406,0.7366306762695313,1.040010467529297,0.41852827453613284,0.47959756469726567
resolution_max_b1,0.5,0.2,0.0006119399785200134,0.00029290071625208815,0.0012238799570400269,0.0014645035812604406,0.7745614318847657,1.0856495666503907,0.45645903015136724,0.5252366638183594
resolution_max_b1,0.5,0.25,0.0006119399785200134,0.00036612589531511016,0.0012238799570400269,0.0014645035812604406,0.8203495788574219,1.1387767333984375,0.5022471771240234,0.5783638305664063
resolution_max_b1,0.5,0.3,0.0006119399785200134,0.00043935107437813217,0.0012238799570400269,0.0014645035812604406,0.874025390625,1.1994043579101563,0.5559229888916015,0.638991455078125
resolution_max_b1,0.5,0.35,0.0006119399785200134,0.0005125762534411542,0.0012238799570400269,0.0014645035812604406,0.9356813659667969,1.2673131713867187,0.6175789642333984,0.7069002685546875
resolution_max_b1,0.5,0.4,0.0006119399785200134,0.0005858014325041763,0.0012238799570400269,0.0014645035812604406,1.0053104553222656,1.3424183349609375,0.6872080535888672,0.7820054321289063
resolution_max_b1,0.5,0.45,0.0006119399785200134,0.0006590266115671983,0.0012238799570400269,0.0014645035812604406,1.0827529907226563,1.4245216064453126,0.7646505889892579,0.8641087036132813
resolution_max_b1,0.5,0.5,0.0006119399785200134,0.0007322517906302203,0.0012238799570400269,0.0014645035812604406,1.1675504150390625,1.5133182373046874,0.8494480133056641,0.9529053344726561
resolution_max_b1,0.5,0.55,0.0006119399785200134,0.0008054769696932424,0.0012238799570400269,0.0014645035812604406,1.25949658203125,1.6084744262695312,0.9413941802978516,1.0480615234375
resolution_max_b1,0.5,0.6,0.0006119399785200134,0.0008787021487562643,0.0012238799570400269,0.0014645035812604406,1.3584802856445313,1.7097752075195312,1.0403778839111328,1.1493623046875
resolution_max_b1,0.5,0.65,0.0006119399785200134,0.0009519273278192865,0.0012238799570400269,0.0014645035812604406,1.4640321044921876,1.8167479248046876,1.1459297027587891,1.2563350219726563
resolution_max_b1,0.5,0.7,0.0006119399785200134,0.0010251525068823084,0.0012238799570400269,0.0014645035812604406,1.5757077026367188,1.92928662109375,1.2576053009033203,1.3688737182617188
resolution_max_b1,0.5,0.75,0.0006119399785200134,0.0010983776859453305,0.0012238799570400269,0.0014645035812604406,1.6935556030273438,2.0475608520507813,1.3754532012939453,1.48714794921875
resolution_max_b1,0.5,0.8,0.0006119399785200134,0.0011716028650083526,0.0012238799570400269,0.0014645035812604406,1.8171517333984375,2.1712747802734373,1.499049331665039,1.610861877441406
resolution_max_b1,0.5,0.85,0.0006119399785200134,0.0012448280440713745,0.0012238799570400269,0.0014645035812604406,1.9461094360351563,2.29992236328125,1.6280070343017579,1.7395094604492187
resolution_max_b1,0.5,0.9,0.0006119399785200134,0.0013180532231343966,0.0012238799570400269,0.0014645035812604406,2.0802379150390626,2.433361083984375,1.7621355133056642,1.8729481811523438
resolution_max_b1,0.5,0.95,0.0006119399785200134,0.0013912784021974185,0.0012238799570400269,0.0014645035812604406,2.21919189453125,2.57179296875,1.9010894927978514,2.011380065917969
resolution_max_b1,0.5,1.0,0.0006119399785200134,0.0014645035812604406,0.0012238799570400269,0.0014645035812604406,2.36285986328125,2.71473583984375,2.044757461547851,2.154322937011719
resolution_max_b1,0.55,-1.0,0.0006731339763720148,-0.0014645035812604406,0.0012238799570400269,0.0014645035812604406,1.9785322265625,2.2614036865234377,1.6604298248291016,1.7009907836914064
resolution_max_b1,0.55,-0.95,0.0006731339763720148,-0.0013912784021974185,0.0012238799570400269,0.0014645035812604406,1.8417867431640624,2.1220260009765624,1.523684341430664,1.561613098144531
