policy,probe,method,amplitude,n_seeds,median,min,max
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.1,5,1.2830572421834974,1.218183491465381,1.331471079215903
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.2,5,1.5550739481207183,1.5396246321729072,1.6801392602156178
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.25,5,1.6874084780934513,1.5873877294598462,1.813278794676966
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.35,5,1.827298456641444,1.609003511560047,1.9358233029588323
centre_frozen,train_probe,resolution_max_b1_gaussian_conv,0.5,5,2.097393771032356,1.717621454030513,2.2252677629545525
saved,test_probe,resolution_max_b1_gaussian_conv,0.005,5,0.8847983075225004,0.7335325298747821,0.958238031914276
saved,test_probe,resolution_max_b1_gaussian_conv,0.01,5,0.8019227251994911,0.753786243253995,0.9438577558718088
saved,test_probe,resolution_max_b1_gaussian_conv,0.02,5,0.8195673320961103,0.7778946720787335,0.9285465857380368
saved,test_probe,resolution_max_b1_gaussian_conv,0.025,5,0.8285448663730737,0.7875935718603805,0.926536865758509
saved,test_probe,resolution_max_b1_gaussian_conv,0.05,5,0.8700586809102264,0.8461071056824986,0.9457766444924092
saved,test_probe,resolution_max_b1_gaussian_conv,0.1,5,1.026581856313187,0.9842117181257828,1.0572631431199588
saved,test_probe,resolution_max_b1_gaussian_conv,0.2,5,1.3383080208315674,1.2965950217075473,1.3668553118575055
saved,test_probe,resolution_max_b1_gaussian_conv,0.25,5,1.4518106588342783,1.3466660245575317,1.5090209336551774
saved,test_probe,resolution_max_b1_gaussian_conv,0.35,5,1.6088010129817687,1.386007743335355,1.6461959557474894
saved,test_probe,resolution_max_b1_gaussian_conv,0.5,5,1.8087340033256407,1.5025069527228496,2.0129732286295328
saved,train_probe,resolution_max_b1_gaussian_conv,0.005,5,1.168007307866403,1.015347212605917,1.284400735209184
saved,train_probe,resolution_max_b1_gaussian_conv,0.01,5,1.1458498483791706,1.0573069905150982,1.2395841322542966
saved,train_probe,resolution_max_b1_gaussian_conv,0.02,5,1.1541017241013567,1.0855878305646185,1.1987637929958268
saved,train_probe,resolution_max_b1_gaussian_conv,0.025,5,1.1478728170122126,1.092092989494447,1.1891038444190354
saved,train_probe,resolution_max_b1_gaussian_conv,0.05,5,1.1439602783861218,1.1242566282868562,1.191093153208459
saved,train_probe,resolution_max_b1_gaussian_conv,0.1,5,1.264311994936394,1.2196736766138812,1.318820593472881
saved,train_probe,resolution_max_b1_gaussian_conv,0.2,5,1.558811335127979,1.5231845876572867,1.6624834634166608
saved,train_probe,resolution_max_b1_gaussian_conv,0.25,5,1.6896710707160034,1.6019115578413254,1.800544528593074
saved,train_probe,resolution_max_b1_gaussian_conv,0.35,5,1.81511044361912,1.6251142904089726,1.932027707457374
saved,train_probe,resolution_max_b1_gaussian_conv,0.5,5,2.0997684594148414,1.7386111830234927,2.212740535328345
