objective,draw,trace_ordinary_cv,trace_relative_cv,trace_covariance_cv
combined_s0_test_centre_frozen,33,11969.663331171812,19296.93877980348,87.4310205739112
combined_s0_test_centre_frozen,34,6374.634122864368,10584.645176219175,64.84243575504505
combined_s0_test_centre_frozen,35,11011.989426624807,18768.273724216317,90.04542554287438
combined_s0_test_centre_frozen,36,8208.60516725764,13473.631651609698,59.96098575551641
combined_s0_test_centre_frozen,37,6107.546975680272,9951.973533923563,49.74616933476888
combined_s0_test_centre_frozen,38,7691.823627719362,12724.55520956287,52.4806339262897
combined_s0_test_centre_frozen,39,9031.48235034871,14984.340907569802,65.93940746232813
combined_s0_test_centre_frozen,40,10723.26848969715,17002.904163419746,59.274240485327745
combined_s0_test_centre_frozen,41,11798.333792277364,18911.270647163732,72.49322611656648
combined_s0_test_centre_frozen,42,8538.194652485377,13899.104161184165,70.47262686338892
combined_s0_test_centre_frozen,43,15575.387212273636,24477.740841615218,92.90254019017337
combined_s0_test_centre_frozen,44,8379.934655714194,13418.161836746654,65.53767476009271
combined_s0_test_centre_frozen,45,8860.387654624936,14682.333212944024,63.62770484381481
combined_s0_test_centre_frozen,46,10234.172247091086,16778.62487595895,74.22646067461517
combined_s0_test_centre_frozen,47,9789.723102155202,16501.878677906418,84.04939441930152
combined_s0_test_centre_frozen,48,7713.3554451587715,12294.32037963298,37.75193514971899
combined_s0_test_centre_frozen,49,7837.713630862524,12866.887927849664,78.99166386766154
combined_s0_test_centre_frozen,50,11922.336807238147,19694.52385903157,108.32022528978878
combined_s0_test_centre_frozen,51,7782.7028429952725,12894.665222520067,65.97852454462179
combined_s0_test_centre_frozen,52,11641.880068024255,19119.8544362506,94.93395889526457
combined_s0_test_centre_frozen,53,8003.295593410498,13134.745642147174,53.71797187555663
combined_s0_test_centre_frozen,54,8375.941272112314,13475.798554239045,50.61004562323129
combined_s0_test_centre_frozen,55,7300.693636497144,11710.346486198438,61.3817883049491
combined_s0_test_centre_frozen,56,9283.608558003361,15356.386887747667,84.93543676812368
combined_s0_test_centre_frozen,57,6432.460919461548,10422.048172993767,50.55289420430306
combined_s0_test_centre_frozen,58,6599.633483382404,10731.554535551782,49.44722918240743
combined_s0_test_centre_frozen,59,6137.603969832724,10055.048254490535,45.170782256675395
combined_s0_test_centre_frozen,60,7910.648081158064,13507.640230731937,76.94698744529741
combined_s0_test_centre_frozen,61,6637.226594813127,10925.42799117966,51.46447018047082
combined_s0_test_centre_frozen,62,9086.397494324454,15221.872518580185,66.12006064870911
combined_s0_test_centre_frozen,63,12380.945808436074,20011.069555149406,69.81182262614729
combined_s0_test_centre_frozen,64,7648.450116780564,12532.17158471422,67.67557239154745
combined_s0_test_centre_frozen,65,6610.493561881725,10621.90064307143,56.99589952895873
combined_s0_test_centre_frozen,66,11067.058789928966,17518.037631196406,60.24461766659005
combined_s0_test_centre_frozen,67,12592.197135790177,20382.83666192527,74.94558190803374
combined_s0_test_centre_frozen,68,9834.368517627312,16257.443258143105,76.03404026656972
combined_s0_test_centre_frozen,69,9464.817566331296,15169.293837679921,74.75981515101594
combined_s0_test_centre_frozen,70,11287.26621825144,18285.940240808133,78.73574606253743
combined_s0_test_centre_frozen,71,10883.140826786594,17568.453728179393,82.23898776396678
combined_s0_test_centre_frozen,72,8586.574359303433,14583.015311601746,73.89448085339465
combined_s0_test_centre_frozen,73,6238.743238380846,10106.089462477928,42.207298664916216
combined_s0_test_centre_frozen,74,8380.54993960846,13658.922888364941,56.95527576883255
combined_s0_test_centre_frozen,75,9086.54636258588,14451.84789417405,65.35788499634484
combined_s0_test_centre_frozen,76,9455.243715817423,15466.40492091831,60.10479050176193
combined_s0_test_centre_frozen,77,7741.587313705844,13364.505816074607,65.8772478910145
combined_s0_test_centre_frozen,78,10934.100197774174,17635.686577668486,59.48847913846535
combined_s0_test_centre_frozen,79,7080.115584609166,11432.679999776921,66.3633450661131
combined_s0_test_centre_frozen,80,7031.351263328469,11542.102726975163,64.53937518514972
combined_s0_test_centre_frozen,81,8388.192538966252,13041.365416928664,52.06516215912801
combined_s0_test_centre_frozen,82,13962.011728949468,22319.053457037262,90.95168582567825
combined_s0_test_centre_frozen,83,8845.588857712919,14240.854423076587,74.0990729778182
combined_s0_test_centre_frozen,84,7356.635155333638,12116.330450107422,64.95109590169474
combined_s0_test_centre_frozen,85,9284.81216191801,15393.415350631258,92.00688707075301
combined_s0_test_centre_frozen,86,15293.110084030362,24893.735861458525,129.13994994255964
combined_s0_test_centre_frozen,87,11642.5588760545,18871.22768398773,84.75310470562306
combined_s0_test_centre_frozen,88,7547.279807861129,12320.822097174008,63.64837773625203
combined_s0_test_centre_frozen,89,7148.809937677246,11728.277351998066,65.847816415463
