method,seed,vector,t,test_probe_ce_centre_frozen,test_probe_ce_pointwise,train_probe_ce_centre_frozen,train_probe_ce_pointwise,train_probe_rise_centre_frozen,train_probe_rise_pointwise,test_probe_rise_centre_frozen,test_probe_rise_pointwise
gaussian_postrelu,0,top1,0.35,3395517022.208,8.38568359375,3410706169.856,9.76247412109375,3410706169.5735655,9.480039627075195,3395517021.6396394,7.817322677612305
gaussian_postrelu,0,top1,0.5,360463418261.504,9.8056533203125,362372212457.472,11.54886962890625,362372212457.1896,11.266435134887695,360463418260.93567,9.237292404174804
gaussian_postrelu,1,min,-0.5,586184425.472,6.516512939453125,586632101.888,7.121151123046875,586632101.5969657,6.830116806030274,586184424.9029579,5.94747085571289
gaussian_postrelu,1,min,-0.35,12167308.288,6.26023681640625,12224663.04,7.147357421875,12224662.748965682,6.856323104858399,12167307.718957918,5.691194732666016
gaussian_postrelu,1,min,-0.2,106785.304,5.800715576171875,107599.104,6.593956298828125,107598.81296568298,6.302921981811524,106784.73495791627,5.231673492431641
gaussian_postrelu,1,min,-0.1,2069.8861875,4.318508544921875,2078.07,4.433482666015625,2077.7789656829837,4.142448348999023,2069.3171454162593,3.749466461181641
gaussian_postrelu,1,min,-0.05,164.7041015625,2.418216796875,165.62740625,2.287310302734375,165.3363719329834,1.9962759857177736,164.13505947875976,1.8491747131347656
gaussian_postrelu,1,min,-0.02,13.0795888671875,0.9049029235839844,13.0575908203125,0.6166768798828125,12.766556503295899,0.325642562866211,12.510546783447266,0.33586083984375004
gaussian_postrelu,1,min,-0.01,2.2672509765625,0.6103213195800781,1.892876220703125,0.3438743896484375,1.6018419036865235,0.05284007263183599,1.6982088928222656,0.04127923583984372
gaussian_postrelu,1,min,-0.005,0.7137255249023438,0.5676946411132813,0.3960826721191406,0.3019644012451172,0.10504835510253913,0.010930084228515713,0.1446834411621094,-0.001347442626953077
gaussian_postrelu,1,min,-0.002,0.577557388305664,0.564852783203125,0.2910934600830078,0.293111328125,5.914306640630862e-05,0.00207701110839853,0.008515304565429704,-0.004189300537109308
gaussian_postrelu,1,min,-0.001,0.5716484985351562,0.5664371337890625,0.2904601745605469,0.2917470550537109,-0.0005741424560545827,0.0007127380371094172,0.002606414794921852,-0.0026049499511718865
gaussian_postrelu,1,min,-0.0005,0.5701858215332031,0.5676007995605469,0.2907984008789062,0.2913049011230468,-0.00023591613769530229,0.00027058410644531516,0.0011437377929687242,-0.0014412841796874742
gaussian_postrelu,1,min,0.0,0.5690420837402344,0.5690420837402344,0.2910343170166015,0.2910343170166015,0.0,0.0,0.0,0.0
gaussian_postrelu,1,min,0.0005,0.567779052734375,0.5707405548095703,0.2911745147705078,0.290912612915039,0.00014019775390633482,-0.0001217041015624809,-0.0012630310058593386,0.0016984710693359606
gaussian_postrelu,1,min,0.001,0.5668402709960938,0.5726269836425781,0.2912181854248047,0.291000259399414,0.00018386840820322492,-3.4057617187499556e-05,-0.002201812744140552,0.0035848999023437855
gaussian_postrelu,1,min,0.002,0.5681521301269531,0.5771482543945312,0.2935562438964844,0.2917955017089844,0.0025219268798828964,0.0007611846923828991,-0.000889953613281258,0.008106170654296863
gaussian_postrelu,1,min,0.005,0.7228856811523438,0.5965225219726562,0.4403842926025391,0.2989346923828125,0.1493499755859376,0.007900375366211021,0.1538435974121094,0.027480438232421855
gaussian_postrelu,1,min,0.01,3.476781005859375,0.6575216064453125,3.09225048828125,0.3399012603759765,2.8012161712646484,0.048866943359375026,2.9077389221191408,0.0884795227050782
gaussian_postrelu,1,min,0.02,27.742458984375,0.9759599609375,27.7770849609375,0.6183685302734375,27.486050643920898,0.32733421325683604,27.173416900634763,0.4069178771972657
gaussian_postrelu,1,min,0.05,209.3159296875,2.764763916015625,210.9292109375,2.41557470703125,210.6381766204834,2.1245403900146482,208.74688760375975,2.1957218322753906
gaussian_postrelu,1,min,0.1,1769.6228125,4.875365966796875,1781.9738125,4.727384521484375,1781.6827781829834,4.436350204467773,1769.0537704162598,4.30632388305664
gaussian_postrelu,1,min,0.2,78216.304,5.91058349609375,78528.124,5.950900146484375,78527.83296568297,5.6598658294677735,78215.73495791627,5.341541412353516
gaussian_postrelu,1,min,0.35,7793291.52,6.4146796875,7798013.696,6.474163330078125,7798013.404965684,6.1831290130615235,7793290.950957916,5.845637603759766
gaussian_postrelu,1,min,0.5,343035117.568,7.263857421875,342608576.512,6.838030029296875,342608576.2209657,6.546995712280274,343035116.99895793,6.694815338134765
gaussian_postrelu,1,top1,-0.5,4373427221692.416,7.599952392578125,4492785839243.264,7.561007568359375,4492785839242.973,7.2699732513427735,4373427221691.847,7.030910308837891
gaussian_postrelu,1,top1,-0.35,27673581584.384,6.00779248046875,28416862584.832,6.600932861328125,28416862584.540966,6.309898544311523,27673581583.814957,5.438750396728516
gaussian_postrelu,1,top1,-0.2,31919941.632,4.773090576171875,32714120.192,5.804424560546875,32714119.900965683,5.5133902435302735,31919941.062957916,4.204048492431641
gaussian_postrelu,1,top1,-0.1,71347.78,4.167482177734375,72742.836,4.976333740234375,72742.54496568297,4.685299423217773,71347.21095791626,3.598440093994141
gaussian_postrelu,1,top1,-0.05,1416.7725,3.0805419921875,1435.2635,3.401792236328125,1434.9724656829835,3.1107579193115233,1416.2034579162598,2.5114999084472656
gaussian_postrelu,1,top1,-0.02,106.93171875,1.6592237548828126,106.93241015625,1.5501814575195312,106.6413758392334,1.2591471405029298,106.36267666625977,1.0901816711425782
gaussian_postrelu,1,top1,-0.01,39.402970703125,0.984207763671875,38.94087109375,0.7586515197753906,38.649836776733395,0.4676172027587891,38.833928619384764,0.41516567993164066
gaussian_postrelu,1,top1,-0.005,14.88873583984375,0.6869360656738281,14.4848359375,0.4142574462890625,14.193801620483399,0.12322312927246104,14.319693756103517,0.1178939819335938
gaussian_postrelu,1,top1,-0.002,3.4962174072265624,0.5876070404052735,3.2248486328125,0.3084850158691406,2.9338143157958982,0.017450698852539137,2.927175323486328,0.0185649566650391
gaussian_postrelu,1,top1,-0.001,1.353067626953125,0.5735729675292969,1.0696397094726562,0.2948709106445312,0.7786053924560548,0.0038365936279297075,0.7840255432128906,0.004530883789062523
gaussian_postrelu,1,top1,-0.0005,0.7695566711425781,0.5700114440917968,0.4927288818359375,0.291657241821289,0.201694564819336,0.000622924804687508,0.20051458740234374,0.000969360351562476
gaussian_postrelu,1,top1,0.0,0.5690420837402344,0.5690420837402344,0.2910343170166015,0.2910343170166015,0.0,0.0,0.0,0.0
gaussian_postrelu,1,top1,0.0005,0.8195401000976562,0.5706186218261718,0.502763671875,0.2926557769775391,0.21172935485839856,0.001621459960937599,0.25049801635742186,0.0015765380859374956
gaussian_postrelu,1,top1,0.001,1.6633304443359376,0.5745325927734375,1.2926439819335938,0.2965692596435547,1.0016096649169923,0.005534942626953199,1.0942883605957032,0.005490509033203139
gaussian_postrelu,1,top1,0.002,4.728404541015625,0.5903582153320313,4.36459375,0.311011734008789,4.073559432983399,0.019977416992187524,4.159362457275391,0.021316131591796905
