method,seed,split,amplitude,S_centre_frozen,S_pointwise,S_saved,ratio_pointwise_over_centre_frozen,ratio_saved_over_centre_frozen,delta_vs_plain_centre_frozen,relchange_vs_plain_centre_frozen,delta_vs_plain_pointwise,relchange_vs_plain_pointwise,delta_vs_plain_saved,relchange_vs_plain_saved,delta_sign_differs_cf_vs_pw
resolution_max_b1,0,train_probe,0.025,0.0246514533996582,0.0084952266693115,0.0242110919952392,0.3446136230421728,0.9821364932412016,-0.013005161094665499,-0.3453619309464444,-0.0039038009643555006,-0.3148473476868085,-0.012382202720642096,-0.33837354129439146,False
resolution_max_b1,0,train_probe,0.05,0.1002927673339843,0.0330606273651123,0.0987352031707763,0.3296411919218194,0.9844698256453412,-0.0546552619934083,-0.3527328629519138,-0.013296183776855403,-0.28682265775650206,-0.0528161170959473,-0.348503180328573,False
resolution_max_b1,0,train_probe,0.1,0.4395532249450684,0.1276066207885742,0.4337452308654786,0.2903098272217691,0.9867865965940402,-0.2531092910766601,-0.36541502567567863,-0.044653562164306604,-0.2592216111631608,-0.24442386932373034,-0.3604172901058691,False
resolution_max_b1,0,train_probe,0.2,2.150605366516113,0.4836103637695312,2.1201375030517573,0.2248717367207908,0.9858328896883055,-1.2051167633056643,-0.35912292993391204,-0.13961517105102544,-0.2240202996355475,-1.1720973281860356,-0.3560187496544279,False
resolution_max_b1,0,train_probe,0.25,3.536584228515625,0.7372964172363281,3.4825484725952145,0.20847698502172707,0.9847209192743896,-1.8561870941162106,-0.34419911082199106,-0.19821513519287093,-0.2118788749087865,-1.8148705368041997,-0.34259523998082936,False
resolution_max_b1,0,train_probe,0.35,7.217323321533202,1.3653990997314451,7.103127160644531,0.18918358495284765,0.9841774913217534,-3.3054332977294933,-0.31412237470917553,-0.3037344284057617,-0.18197131822325602,-3.268481991577149,-0.3151374047755178,False
resolution_max_b1,0,train_probe,0.5,16.83922320251465,2.378597543334961,16.583801226806642,0.1412534007494929,0.9848317245613881,-5.5669178833007855,-0.24845500445523,-0.3819830261230468,-0.13837054072942437,-5.545265890502929,-0.25058742246596416,False
resolution_max_b1,1,test_probe,0.005,0.0010583602905273,0.0003178169250488,0.0009671104431152,0.3002918078969649,0.9137818678300589,-0.00031680679321289987,-0.23037694616078508,0.00016620178222649998,1.096208328090923,-0.0002818244934082,-0.2256518615715093,True
resolution_max_b1,1,test_probe,0.01,0.0041125228881836,0.0012388488769531,0.0039885055541992,0.3012381719534378,0.9698439771993159,-0.0014520454406738003,-0.26094484870346735,0.00038579177856440004,0.45224613838054245,-0.0015407218933104995,-0.27865048199535053,True
resolution_max_b1,1,test_probe,0.02,0.0161181762695312,0.0045639358520508,0.0160731071472168,0.28315460606285714,0.9972038323963738,-0.0072295715332031975,-0.30964749123924057,0.0005530723571777994,0.13789358772363602,-0.0075558616638182995,-0.31977111334158576,True
resolution_max_b1,1,test_probe,0.025,0.0250705184936523,0.0069607276916504,0.0251407470703125,0.27764594072567,1.0028012414931897,-0.0117438697814942,-0.3190021709371311,0.00043926773071290004,0.06735726867051908,-0.0120326225280761,-0.3236893146376941,True
resolution_max_b1,1,test_probe,0.05,0.1016776275634766,0.0255748481750488,0.1028121635437012,0.2515287658446064,1.0111581673118435,-0.05270300140380858,-0.34138351266192135,-0.0014082756042481,-0.052190977433406546,-0.05179772644042961,-0.33502207682669033,False
resolution_max_b1,1,test_probe,0.1,0.4531699188232422,0.0964016174316406,0.459289469909668,0.21272730917791083,1.0135038775352005,-0.25851815185546856,-0.3632464312756139,-0.015028817749023413,-0.1348717495777248,-0.2527480972290038,-0.3549645536887525,False
resolution_max_b1,1,test_probe,0.2,2.4073274261474613,0.3936639373779297,2.4413972412109377,0.1635273760860712,1.0141525472162296,-1.019449230957031,-0.29749509027484455,-0.10345113372802728,-0.20810299212589617,-0.9913299774169917,-0.28878786873523526,False
