seed,probe,method,quantity,n_shared_draws,diff_vs_plain,diff_mc_sem,diff_z,diff_resolved_2sem,ratio_to_plain,ratio_mc_sem,unpaired_sem_would_be
4,test_probe,gaussian_postrelu,lambda_top1_ordinary,,-1667.485705526955,,,,0.4921755873098031,,
4,test_probe,gaussian_postrelu,lambda_top1_relative,,-2612.5920287883423,,,,0.5039617501411481,,
4,test_probe,gaussian_postrelu,quadform_20dir_mean,,-21.721958438358712,9.25288410609348,,,0.8503185994192608,,
4,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-2000.5554666336402,,,,0.39074086120795914,,
4,test_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-3177.9020368895967,,,,0.39662949774340583,,
4,test_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-73.07616402829515,5.4100387625115465,,,0.4964476793442606,,
4,train_probe,resolution_max_b1,trace_ordinary,128.0,-3877.0367776815237,491.97995420553207,-7.8804771302975345,True,0.7260702973834333,0.028449364778815305,619.7388055977264
4,train_probe,resolution_max_b1,trace_relative,128.0,-6242.976066428051,783.5579343655705,-7.967472209292157,True,0.7261655986974498,0.02819315095498111,982.6324792918542
4,train_probe,resolution_max_b1,trace_covariance,128.0,-21.70855088280488,3.187839720492303,-6.809799985631773,True,0.7752540197679092,0.02963450447052928,4.276273781745335
4,train_probe,gaussian_postrelu,trace_ordinary,128.0,-3684.867112386327,522.7252819106617,-7.049337845143872,True,0.7396479295506778,0.03031334219359123,606.5638127698961
4,train_probe,gaussian_postrelu,trace_relative,128.0,-4999.891548511855,835.4003452420889,-5.985024517871066,True,0.780690764437323,0.031343197983996596,981.4307645765113
4,train_probe,gaussian_postrelu,trace_covariance,128.0,10.27587565753185,5.027026314967766,2.044126092385045,True,1.1063848876814888,0.05306529753290258,5.990974872294958
4,train_probe,resolution_max_b1_gaussian_conv,trace_ordinary,128.0,-4976.369995641884,535.5741257864262,-9.291654984890622,True,0.6483975697977853,0.027852454996619126,572.0558205273668
4,train_probe,resolution_max_b1_gaussian_conv,trace_relative,128.0,-7820.562476029623,850.1145690197119,-9.199421773288401,True,0.6569682438814709,0.027841688904417246,912.1023831965886
4,train_probe,resolution_max_b1_gaussian_conv,trace_covariance,128.0,-28.706099765922147,3.2165795580047645,-8.924417769952024,True,0.7028092494353182,0.02608765153393438,3.618424197147397
4,train_probe,resolution_max_b1,lambda_top1_ordinary,,-721.954228933258,,,,0.683047088376667,,
4,train_probe,resolution_max_b1,lambda_top1_relative,,-1154.344839829208,,,,0.684131573657643,,
4,train_probe,resolution_max_b1,quadform_20dir_mean,,-24.306944934668053,5.957841039638193,,,0.7516173826111877,,
4,train_probe,gaussian_postrelu,lambda_top1_ordinary,,-818.6225822567867,,,,0.6406076721092433,,
4,train_probe,gaussian_postrelu,lambda_top1_relative,,-1256.8888175870043,,,,0.6560720166105191,,
4,train_probe,gaussian_postrelu,quadform_20dir_mean,,6.4301470849093505,8.10417815666159,,,1.0657070136719193,,
4,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_ordinary,,-1116.17080955434,,,,0.509977816072983,,
4,train_probe,resolution_max_b1_gaussian_conv,lambda_top1_relative,,-1761.8200287838401,,,,0.5179054812834477,,
4,train_probe,resolution_max_b1_gaussian_conv,quadform_20dir_mean,,-31.054049227885784,5.088069615333664,,,0.682671514315148,,
