problem,method,seed,probe,policy,coords,vector,radial_fraction_ordinary_metric,radial_fraction_r_metric,radial_fraction_bn_followed_r_metric,fc_share_r_metric,random_direction_expected_radial_fraction_r_metric,random_direction_expected_radial_fraction_ordinary_metric
resolution_s2_test_saved_rel,resolution_max_b1,2,test_probe,saved,relative,min,0.0038038595738507015,0.003717183528779937,0.003655122915341517,0.003060578744108257,0.004256539849304894,0.004641726961994496
resolution_s2_test_centre_frozen_ord,resolution_max_b1,2,test_probe,centre_frozen,ordinary,top1,0.006522112277184758,0.006421068316240889,0.006374737022075542,0.0010833472054633513,0.004256539849304894,0.004641726961994496
resolution_s2_test_centre_frozen_ord,resolution_max_b1,2,test_probe,centre_frozen,ordinary,top2,0.007541302173791571,0.0072769886319879835,0.007230292582699705,0.0009924821363672851,0.004256539849304894,0.004641726961994496
resolution_s2_test_centre_frozen_ord,resolution_max_b1,2,test_probe,centre_frozen,ordinary,min,0.003947902401503106,0.003956212446423436,0.003942566769927103,0.0008289611619339823,0.004256539849304894,0.004641726961994496
resolution_s2_test_centre_frozen_rel,resolution_max_b1,2,test_probe,centre_frozen,relative,top1,0.00689431290510716,0.006713951235853101,0.006581598630640743,0.0032046242855424388,0.004256539849304894,0.004641726961994496
resolution_s2_test_centre_frozen_rel,resolution_max_b1,2,test_probe,centre_frozen,relative,top2,0.008273009269291922,0.007881384112682407,0.00770962871417368,0.0036857946006726137,0.004256539849304894,0.004641726961994496
resolution_s2_test_centre_frozen_rel,resolution_max_b1,2,test_probe,centre_frozen,relative,min,0.004028521049898799,0.003978552667333219,0.003932478799950781,0.0030911895210680553,0.004256539849304894,0.004641726961994496
resolution_s3_train_saved_ord,resolution_max_b1,3,train_probe,saved,ordinary,top1,0.007807937990878562,0.007692863757237703,0.007630987263452746,0.0011099231673707532,0.004256539849304894,0.0046382815357091005
resolution_s3_train_saved_ord,resolution_max_b1,3,train_probe,saved,ordinary,top2,0.007727718339535647,0.007635843501642149,0.0074383665082058195,0.002786954712164654,0.004256539849304894,0.0046382815357091005
resolution_s3_train_saved_ord,resolution_max_b1,3,train_probe,saved,ordinary,min,0.003791786811155701,0.0037831844511173433,0.0037492492533211185,0.0013840396265281786,0.004256539849304894,0.0046382815357091005
resolution_s3_train_saved_rel,resolution_max_b1,3,train_probe,saved,relative,top1,0.008334850137280022,0.008075584999465969,0.007904564249350687,0.00321658069267281,0.004256539849304894,0.0046382815357091005
resolution_s3_train_saved_rel,resolution_max_b1,3,train_probe,saved,relative,top2,0.008385250968003341,0.008179834832232937,0.0077897289223357175,0.00588231181953995,0.004256539849304894,0.0046382815357091005
resolution_s3_train_saved_rel,resolution_max_b1,3,train_probe,saved,relative,min,0.0038751337420582337,0.003796037452282542,0.003687323543587904,0.004376710150631677,0.004256539849304894,0.0046382815357091005
resolution_s3_train_centre_frozen_ord,resolution_max_b1,3,train_probe,centre_frozen,ordinary,top1,0.0077701727173845785,0.00766146559096774,0.007599860560235922,0.0011284943651084791,0.004256539849304894,0.0046382815357091005
