campaign,arm,seed,policy,split,acc,ce,n,source,state,buffers_sha256,checkpoint_sha256,account,tag,campaign_label,arm_short
adamw_long_aug_160,cbs_published_schedule,2,P2,test,0.8707,0.6049466613769531,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",726e0444f43b4e86cbafb5b5f0926a40b2a2d7bfad014918e920d2f3233378c4,5fbb4f8e913f802871508884d7793ed46d202430c3606d2aa5ab32de8eb185fd,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,2,P3,train,0.9953,0.01571659815788269,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",acceb0a8ce4b11bd04d22a401044a6fa925ab5ce231dcb8756dac3d28bd07bee,5fbb4f8e913f802871508884d7793ed46d202430c3606d2aa5ab32de8eb185fd,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,cbs_published_schedule,2,P3,test,0.8961,0.5495784378051758,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.038152042447694615}",acceb0a8ce4b11bd04d22a401044a6fa925ab5ce231dcb8756dac3d28bd07bee,5fbb4f8e913f802871508884d7793ed46d202430c3606d2aa5ab32de8eb185fd,maxlefrr,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",CBS-pub
adamw_long_aug_160,gaussian_postrelu,0,P0,train,0.9912,0.025999089760780334,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",2770b27fd9285956d024fec1f109027d816419f3050307342f919ec9c2e59ce3,090fb65763a10b76ec1107862f14537fc4636ed814a1c39e894daaa4aecd1534,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",G
adamw_long_aug_160,gaussian_postrelu,0,P0,test,0.8866,0.5437208908081055,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",2770b27fd9285956d024fec1f109027d816419f3050307342f919ec9c2e59ce3,090fb65763a10b76ec1107862f14537fc4636ed814a1c39e894daaa4aecd1534,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",G
adamw_long_aug_160,gaussian_postrelu,0,P1,train,0.89164,0.365905770111084,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",8b46cef03b111c1bd2ae441ae1bac05b8daaa57432838f9c89814a54ba4d99e3,090fb65763a10b76ec1107862f14537fc4636ed814a1c39e894daaa4aecd1534,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",G
adamw_long_aug_160,gaussian_postrelu,0,P1,test,0.8197,0.7852083953857422,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",8b46cef03b111c1bd2ae441ae1bac05b8daaa57432838f9c89814a54ba4d99e3,090fb65763a10b76ec1107862f14537fc4636ed814a1c39e894daaa4aecd1534,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",G
adamw_long_aug_160,gaussian_postrelu,0,P2,train,0.88958,0.3771212271118164,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",273b3bccd801baa932f639a4df54c58f33e4fdd2ea772092077546309c538183,090fb65763a10b76ec1107862f14537fc4636ed814a1c39e894daaa4aecd1534,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",G
adamw_long_aug_160,gaussian_postrelu,0,P2,test,0.8177,0.8015700500488281,10000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",273b3bccd801baa932f639a4df54c58f33e4fdd2ea772092077546309c538183,090fb65763a10b76ec1107862f14537fc4636ed814a1c39e894daaa4aecd1534,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",G
adamw_long_aug_160,gaussian_postrelu,0,P3,train,0.99138,0.02634005385875702,50000,"new run, final checkpoint epoch 160","{""label"": ""native"", ""resolution"": null, ""sigma"": 0.0}",49c67107bca1d90a0fefe4a7548295affa9fefa66752d3f15dbbec66666f75e3,090fb65763a10b76ec1107862f14537fc4636ed814a1c39e894daaa4aecd1534,maxlebossdu91,t2,"AdamW lr 0.02, cosine, crop+flip, 160 ep",G
