campaign,arm,seed,epoch,update,evaluated_state,state_note,per_site_sigma_max,train_acc,train_ce,test_acc,test_ce,bn
adamw_long_aug_160,resolution_max_b1,2,120,46920,"{""label"": ""epoch 119"", ""resolution"": 32, ""sigma"": null}",scheduled state of the last update of epoch 119,0.0,0.95574,0.13473678001403808,0.8819,0.5518167404174805,P1
adamw_long_aug_160,resolution_max_b1,2,160,62560,"{""label"": ""native"", ""resolution"": 32, ""sigma"": null}",native inference state (endpoint P1 reused),0.0,0.96448,0.11292686008453369,0.8865,0.5806059707641602,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,0,40,15640,"{""label"": ""epoch 39"", ""resolution"": 24, ""sigma"": 0.7}",scheduled state of the last update of epoch 39,0.5249999999999999,0.85246,0.4210296078491211,0.8198,0.5233473571777344,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,0,80,31280,"{""label"": ""epoch 79"", ""resolution"": 32, ""sigma"": 0.5}",scheduled state of the last update of epoch 79,0.5,0.90056,0.28885207626342774,0.8503,0.489818635559082,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,0,120,46920,"{""label"": ""epoch 119"", ""resolution"": 32, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.916,0.26696275634765626,0.8481,0.605106883239746,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,0,160,62560,"{""label"": ""native"", ""resolution"": 32, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.92386,0.24329702804565428,0.8523,0.6352049041748047,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,1,40,15640,"{""label"": ""epoch 39"", ""resolution"": 24, ""sigma"": 0.7}",scheduled state of the last update of epoch 39,0.5249999999999999,0.8378,0.467412734375,0.8115,0.5646066772460937,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,1,80,31280,"{""label"": ""epoch 79"", ""resolution"": 32, ""sigma"": 0.5}",scheduled state of the last update of epoch 79,0.5,0.8885,0.3213798631286621,0.8365,0.5391341110229492,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,1,120,46920,"{""label"": ""epoch 119"", ""resolution"": 32, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.91778,0.253314920501709,0.8492,0.5935620483398437,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,1,160,62560,"{""label"": ""native"", ""resolution"": 32, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.92302,0.24913114517211915,0.8526,0.6446465393066406,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,2,40,15640,"{""label"": ""epoch 39"", ""resolution"": 24, ""sigma"": 0.7}",scheduled state of the last update of epoch 39,0.5249999999999999,0.8723,0.36433258270263674,0.8363,0.48999373168945315,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,2,80,31280,"{""label"": ""epoch 79"", ""resolution"": 32, ""sigma"": 0.5}",scheduled state of the last update of epoch 79,0.5,0.91712,0.22810418045043945,0.8589,0.46277523956298827,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,2,120,46920,"{""label"": ""epoch 119"", ""resolution"": 32, ""sigma"": 0.0}",scheduled state of the last update of epoch 119,0.0,0.94344,0.16090052574157715,0.8646,0.5505379928588867,P1
adamw_long_aug_160,resolution_max_b1_gaussian_conv,2,160,62560,"{""label"": ""native"", ""resolution"": 32, ""sigma"": 0.0}",native inference state (endpoint P1 reused),0.0,0.9484,0.1510487239074707,0.8647,0.6077977020263672,P1
adamw_long_aug_160,sdpoint,0,40,15640,"{""label"": ""full-resolution instance"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",fixed full-resolution instance,0.0,0.87196,0.3705563916015625,0.8414,0.47651807403564456,P1
adamw_long_aug_160,sdpoint,0,80,31280,"{""label"": ""full-resolution instance"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",fixed full-resolution instance,0.0,0.91764,0.23399274551391602,0.8751,0.3842910690307617,P1
adamw_long_aug_160,sdpoint,0,120,46920,"{""label"": ""full-resolution instance"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",fixed full-resolution instance,0.0,0.93398,0.18443675720214844,0.8794,0.38592146453857423,P1
adamw_long_aug_160,sdpoint,0,160,62560,"{""label"": ""native"", ""resolution"": null, ""sd_point"": 0, ""sd_ratio"": null, ""sigma"": null}",native inference state (endpoint P1 reused),0.0,0.94082,0.16672371253967286,0.8863,0.38019496002197267,P1
